,URL,MEAN_G_RING,MEAN_GS_RING,MEAN_FG%_PER_GAME_RING,MEAN_3P_PER_GAME_RING,MEAN_3P%_PER_GAME_RING,MEAN_FT%_PER_GAME_RING,MEAN_ORB_PER_GAME_RING,MEAN_FTr_RING,MEAN_DRB%_RING,MEAN_STL%_RING,MEAN_TOV%_RING,MEAN_USG%_RING,MEAN_DBPM_RING,MEAN_OFF_TEAM_RTG_RING,MEAN_W/L%_TEAM_RING,MEAN_G_PLAYOFF_1stPO,MEAN_GS_PLAYOFF_1stPO,MEAN_FG%_PER_GAME_PLAYOFF_1stPO,MEAN_FT%_PER_GAME_PLAYOFF_1stPO,MEAN_3P%_PER_GAME_PLAYOFF_1stPO,MEAN_FTr_PLAYOFF_1stPO,MEAN_ORB%_PLAYOFF_1stPO,MEAN_DRB%_PLAYOFF_1stPO,MEAN_STL%_PLAYOFF_1stPO,MEAN_TOV%_PLAYOFF_1stPO,MEAN_USG%_PLAYOFF_1stPO,MEAN_OWS_PLAYOFF_1stPO,MEAN_G_PLAYOFF_SGFCT,MEAN_N_SEASONS_X_TEAM,N_TEAMS,N_NBA_CHAMPION,N_POSITIONS,COMMON_POSITION,MEAN_G_2S,MEAN_FG%_PER_GAME_2S,MEAN_FT%_PER_GAME_2S,MEAN_BLK%_2S,MEAN_TOV%_2S,MEAN_USG%_2S,MEAN_OFF_TEAM_RTG_2S,MEAN_DEFF_TEAM_RTG_2S,MEAN_OFF_TEAM_RTG_SGFCT,ROY,DRAFT_PICK,AGE_ENTRANCE,IS_ACTIVE
79,/players/d/davishu01.html,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,6.1,-0.5,102.0,0.659,7.0,0.0,0.56,0.667,0.5,0.12,1.3,6.2,3.3,25.5,16.5,-0.1,14.0,2.2857142857142856,7,1,2,SG,53.0,0.4545,0.8105,0.25,13.1,18.8,105.9,98.95,104.75454545454545,0,20,23,0
80,/players/d/dayeau01.html,14.0,1.0,0.382,0.9,0.414,0.571,0.2,0.127,16.0,1.8,7.9,24.8,-0.4,110.5,0.756,4.0,0.0,0.375,1.0,0.0,0.125,0.0,6.3,0.0,10.6,22.0,0.0,2.5,2.0,6,1,1,SF,70.5,0.437,0.79,2.3,11.649999999999999,18.55,106.65,111.55000000000001,104.9125,0,15,22,0
81,/players/d/decolna01.html,26.0,3.0,0.452,0.4,0.323,0.818,0.2,0.237,14.0,2.5,17.0,18.6,1.7,110.5,0.756,5.0,0.0,0.25,1.0,0.0,0.5,16.9,15.9,0.0,0.0,16.5,0.0,3.0,1.3333333333333333,3,1,2,SF,59.5,0.427,0.8405,0.7,20.45,17.85,105.6,104.65,105.6,0,53,26,0
82,/players/d/delebi01.html,9.0,0.0,0.413,0.0,0.0,0.733,1.6,0.238,15.3,1.2,13.6,26.1,-1.3,114.4,0.841,12.0,0.0,0.553,0.659,0.0,0.539,13.6,21.7,0.8,15.3,17.7,0.6,12.0,1.6,5,1,2,C,34.5,0.5205,0.7345,3.95,20.299999999999997,20.9,106.0,108.8,105.41666666666667,0,10,23,0
83,/players/d/dellama01.html,76.0,14.0,0.405,1.3,0.41,0.864,0.4,0.129,7.8,1.2,17.7,15.9,-0.5,110.9,0.695,20.0,7.0,0.346,0.781,0.316,0.235,2.2,6.8,1.0,18.9,16.9,-0.1,15.333333333333334,3.3333333333333335,3,1,2,PG,69.5,0.387,0.7775000000000001,0.2,15.9,12.899999999999999,107.65,107.0,109.0625,0,-100,24,0
84,/players/d/dembofe01.html,31.0,0.0,0.333,0.0,0.0,0.8,0.3,0.238,21.9,0.7,13.1,30.9,-3.1,110.8,0.768,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,22.8,0.0,2.0,1.0,1,1,1,SF,31.0,0.333,0.8,0.0,13.1,30.9,110.8,104.7,110.8,0,30,23,0
85,/players/d/diakima01.html,14.0,1.0,0.4,0.1,0.125,0.786,0.6,0.35,18.7,2.3,6.1,14.6,0.9,117.2,0.639,7.0,0.0,0.2,1.0,0.5,0.2,3.0,18.8,4.2,8.4,14.6,-0.1,7.0,1.0,2,1,1,PF,13.5,0.466,0.6655,4.15,9.0,14.05,110.9,112.1,110.9,0,-100,24,1
86,/players/d/diawbo01.html,79.0,24.0,0.521,0.6,0.402,0.739,0.9,0.159,13.8,1.1,16.3,17.0,0.9,110.5,0.756,20.0,20.0,0.526,0.761,0.429,0.304,5.9,13.9,1.2,14.4,22.6,1.4,12.5,3.0,6,1,2,PF,71.0,0.4345,0.671,1.2999999999999998,23.65,13.45,100.8,108.6,107.58333333333333,0,21,22,0
87,/players/d/diopde01.html,79.0,23.0,0.522,0.0,0.0,0.543,2.0,0.389,20.3,1.1,21.6,9.6,1.1,110.2,0.805,22.0,18.0,0.615,0.611,0.0,0.462,11.5,21.1,1.9,19.0,6.6,0.5,14.0,3.2,5,1,2,C,49.0,0.38249999999999995,0.2835,6.4,26.450000000000003,14.25,100.55,107.45,107.55555555555556,0,8,20,0
88,/players/d/divindo01.html,66.0,66.0,0.42,2.0,0.379,0.718,1.2,0.118,16.7,1.9,12.5,16.7,0.4,117.2,0.639,10.0,1.0,0.451,0.65,0.333,0.392,5.1,15.9,2.0,14.3,18.2,0.1,6.5,2.0,3,1,1,SG,46.5,0.42900000000000005,0.7415,1.2,13.45,16.2,113.1,104.05000000000001,114.66666666666667,0,17,22,1
89,/players/d/dixonju01.html,53.0,0.0,0.411,0.6,0.417,0.808,0.3,0.101,10.7,1.7,16.7,22.8,-0.5,110.2,0.805,10.0,0.0,0.406,0.84,0.324,0.248,1.5,11.9,1.6,9.7,24.4,0.1,8.0,2.2,5,1,2,SG,56.5,0.386,0.8015000000000001,0.25,12.8,24.15,100.9,104.44999999999999,103.39999999999999,0,17,25,0
90,/players/d/doleami01.html,31.0,3.0,0.42,0.0,0.0,0.8,0.7,0.341,18.9,1.4,12.2,14.3,-0.4,108.7,0.634,4.0,0.0,0.278,0.778,0.0,0.5,13.0,18.2,0.0,12.0,26.2,-0.1,6.0,1.7142857142857142,7,1,1,C,65.0,0.46,0.7585,1.7000000000000002,9.0,19.65,101.35,99.55000000000001,103.72222222222223,0,12,22,0
