,URL,MEAN_N_SEASONS_X_TEAM,N_TEAMS,N_NBA_CHAMPION,N_POSITIONS,COMMON_POSITION,MEAN_G_2S,MEAN_GS_2S,MEAN_FG%_PER_GAME_2S,MEAN_3P_PER_GAME_2S,MEAN_3P%_PER_GAME_2S,MEAN_FT%_PER_GAME_2S,MEAN_ORB_PER_GAME_2S,MEAN_AST_PER_GAME_2S,MEAN_STL_PER_GAME_2S,MEAN_BLK_PER_GAME_2S,MEAN_PF_PER_GAME_2S,MEAN_PER_2S,MEAN_3PAr_2S,MEAN_FTr_2S,MEAN_ORB%_2S,MEAN_DRB%_2S,MEAN_AST%_2S,MEAN_STL%_2S,MEAN_BLK%_2S,MEAN_TOV%_2S,MEAN_USG%_2S,MEAN_OWS_2S,MEAN_DBPM_2S,MEAN_OFF_TEAM_RTG_2S,MEAN_DEFF_TEAM_RTG_2S,MEAN_W/L%_TEAM_2S,MEAN_GS_SGFCT,MEAN_OWS_SGFCT,MEAN_OFF_TEAM_RTG_SGFCT,MEAN_W/L%_TEAM_SGFCT,ALL-ROOKIE,ALL_STAR,ROY,HALL_OF_FAME,DRAFT_PICK,HEIGHT(cm),AGE_ENTRANCE,IS_ACTIVE
372,/players/g/greende01.html,1.0,1,0,1,SG,27.0,0.0,0.214,0.0,0.0,0.619,0.4,0.3,0.1,0.0,0.5,4.7,0.071,0.75,8.7,12.2,7.3,1.2,0.0,11.8,14.3,-0.2,-1.5,108.4,105.7,0.549,0.0,-0.2,108.4,0.549,0,0,0,0,-100,200.66,24,0
373,/players/g/greendo01.html,4.0,1,0,2,SF,65.5,27.0,0.3835,0.7,0.3185,0.748,0.5,0.7,0.4,0.5,1.6,8.4,0.3775,0.1985,3.35,11.9,6.6,1.2000000000000002,1.9,12.95,18.5,-0.44999999999999996,-1.3499999999999999,105.4,112.30000000000001,0.256,20.5,-0.2,104.525,0.2845,0,0,0,0,-100,210.82,21,0
374,/players/g/greener01.html,1.3333333333333333,3,0,1,PG,26.0,0.5,0.381,0.2,0.249,0.9165,0.25,0.6,0.2,0.0,0.5,10.65,0.3375,0.11399999999999999,5.1000000000000005,7.3999999999999995,13.05,1.4,0.0,3.85,17.15,0.0,-0.8500000000000001,105.65,105.9,0.4755,1.0,-0.1,104.5,0.366,0,0,0,0,46,193.04,24,0
375,/players/g/greenja05.html,1.0,1,0,1,SG,67.0,67.0,0.426,2.3,0.343,0.797,0.5,2.6,0.7,0.3,1.5,12.5,0.48,0.247,1.7,10.0,13.1,1.0,0.8,11.3,23.7,0.5,-2.4,108.4,116.7,0.244,67.0,0.5,108.4,0.244,1,0,0,0,2,193.04,20,1
376,/players/g/greenke01.html,1.0,1,0,1,PF,7.0,0.0,0.481,0.0,0.0,0.556,1.7,0.3,0.6,0.0,1.1,19.3,0.0,0.333,18.0,24.7,4.4,2.7,0.0,3.1,18.6,0.1,-1.5,99.5,105.2,0.28,0.0,0.1,99.5,0.28,0,0,0,0,34,203.2,27,0
377,/players/g/greenke02.html,1.3333333333333333,3,1,1,SF,30.5,0.0,0.434,0.0,0.0,0.761,0.8,0.2,0.15000000000000002,0.30000000000000004,1.3,10.05,0.0075,0.256,7.45,10.75,2.5,0.7,1.4500000000000002,13.6,23.5,-0.25,-1.95,107.4,103.69999999999999,0.6465,0.0,-0.30000000000000004,107.925,0.62525,0,0,0,0,12,198.12,22,0
378,/players/g/greenli01.html,1.25,4,0,1,PG,40.5,2.0,0.4125,0.0,0.175,0.6910000000000001,0.2,1.25,0.30000000000000004,0.05,0.95,12.3,0.0605,0.567,3.75,4.6,18.9,2.1,0.45,15.0,24.299999999999997,0.2,-0.8,109.65,106.9,0.5549999999999999,1.3333333333333333,0.23333333333333336,107.53333333333335,0.5326666666666667,0,0,0,0,39,185.42,23,0
379,/players/g/greenor01.html,1.0,4,0,2,SG,60.5,2.5,0.383,0.05,0.20350000000000001,0.631,0.4,1.05,0.7,0.1,1.5999999999999999,6.45,0.16749999999999998,0.336,4.550000000000001,12.65,14.7,3.35,0.8999999999999999,27.75,16.2,-1.2,1.6,104.05000000000001,106.2,0.4145,2.5,-1.2,104.05000000000001,0.4145,0,0,0,0,53,193.04,24,0
380,/players/g/greenta01.html,1.0,3,1,3,PG,12.5,0.0,0.265,0.1,0.1535,0.9585,0.0,0.8,0.1,0.0,0.35,6.4,0.47,0.49,0.0,12.8,25.200000000000003,1.2999999999999998,0.0,24.65,26.4,-0.15000000000000002,-2.5,108.75,103.65,0.6525000000000001,0.0,-0.10000000000000002,109.16666666666667,0.6383333333333333,0,0,0,0,52,182.88,22,0
381,/players/g/greerly01.html,1.0,1,0,1,SG,41.0,0.0,0.433,0.4,0.346,0.844,0.0,1.3,0.4,0.0,0.8,14.0,0.369,0.227,0.5,6.9,19.0,2.0,0.2,10.4,18.1,0.7,-1.1,107.0,111.7,0.341,0.0,0.7,107.0,0.341,0,0,0,0,170,187.96,28,0
382,/players/g/gregocl01.html,1.0,2,0,1,PF,12.5,1.0,0.47750000000000004,0.0,0.0,0.1665,1.3,0.35,0.45,0.3,1.05,17.9,0.0035,0.1345,56.05,10.2,4.2,12.799999999999999,1.2,31.4,52.949999999999996,-0.15,0.25,100.2,106.19999999999999,0.34149999999999997,2.0,-0.3,97.4,0.207,0,0,0,0,41,203.2,28,0
383,/players/g/griffed01.html,2.5,2,0,2,PF,75.0,45.0,0.383,1.0,0.3315,0.6805,1.7000000000000002,0.9,0.44999999999999996,1.6,1.7000000000000002,14.600000000000001,0.3465,0.134,7.8,18.7,6.4,1.0,4.5,7.949999999999999,18.9,1.0,0.0,103.69999999999999,105.6,0.4325,29.25,0.45,104.5,0.451,1,0,0,0,7,208.28,20,0
384,/players/g/griffta01.html,1.0,1,0,1,SF,8.0,0.0,0.4,0.0,0.0,0.5,0.0,0.1,0.0,0.3,0.5,5.2,0.2,0.4,0.0,6.7,4.3,0.0,4.4,7.8,17.6,0.0,-1.9,115.3,110.2,0.659,0.0,0.0,115.3,0.659,0,0,0,0,48,200.66,24,0
385,/players/g/grimequ01.html,1.0,1,0,1,SG,46.0,6.0,0.404,1.6,0.381,0.684,0.5,1.0,0.7,0.2,1.6,10.7,0.804,0.081,3.2,9.8,8.5,2.0,1.4,10.3,15.1,0.6,0.9,110.4,110.5,0.451,6.0,0.6,110.4,0.451,0,0,0,0,25,195.58,22,1
386,/players/g/grimmde01.html,1.0,1,0,1,SF,9.0,0.0,0.286,0.4,0.333,1.0,0.0,0.0,0.3,0.1,0.7,7.9,0.857,0.143,0.0,13.4,0.0,4.6,2.0,16.8,23.4,-0.1,1.6,100.8,106.9,0.329,0.0,-0.1,100.8,0.329,0,0,0,0,-100,205.74,24,0
387,/players/g/grundan01.html,1.0,1,0,1,SG,12.0,0.0,0.5,0.4,0.333,0.643,0.1,0.8,0.6,0.0,1.2,16.6,0.395,0.368,1.1,18.3,14.7,3.4,0.0,16.9,22.4,0.1,0.9,106.4,111.6,0.317,0.0,0.1,106.4,0.317,0,0,0,0,-100,190.5,27,0
388,/players/g/gudurma01.html,1.0,1,0,1,SG,44.0,0.0,0.395,0.6,0.301,0.923,0.3,1.0,0.3,0.2,0.8,8.8,0.529,0.166,3.1,12.6,12.3,1.2,1.4,17.6,17.6,-0.3,-0.7,109.2,110.3,0.466,0.0,-0.3,109.2,0.466,0,0,0,0,-100,198.12,25,0
389,/players/g/guibean01.html,2.0,1,0,2,C,11.0,0.0,0.32,0.0,0.0,0.5920000000000001,1.45,0.5,0.25,0.15000000000000002,1.45,7.2,0.0425,0.352,24.15,20.950000000000003,10.15,1.25,1.15,19.35,28.15,-0.2,-5.25,102.25,110.80000000000001,0.25,0.0,-0.2,102.6,0.256,0,0,0,0,-100,208.28,26,0
