,SEASON,SCHOOL,CONF,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,COLLEGE_URL
142,2018-19,Iowa State,Big 12,18,17,461,14.1,0.47,0.46,0.434,0.185,174,2.8,15.6,9.4,15.7,2.6,1.8,13.4,24.6,0.2,0.5,0.7,0.063,/players/talen-horton-tucker-1.html
143,2016-17,Maryland,Big Ten,18,18,557,15.2,0.558,0.56,0.689,0.079,174,1.7,15.5,9.0,19.2,1.8,1.6,15.6,17.2,0.8,0.8,1.6,0.113,/players/kevin-huerter-1.html
144,2017-18,Maryland,Big Ten,18,18,640,19.3,0.627,0.586,0.546,0.4,267,3.1,14.5,9.0,18.9,1.1,1.8,17.0,22.5,1.6,0.3,1.9,0.121,/players/kevin-huerter-1.html
145,2019-20,VCU,A-10,18,9,434,18.5,0.591,0.585,0.623,0.113,178,1.8,11.2,6.3,18.9,1.9,1.4,13.9,22.9,1.0,0.5,1.5,0.14,/players/nahshon-hyland-1.html
146,2020-21,VCU,A-10,12,12,417,22.8,0.594,0.54,0.538,0.353,210,0.9,17.6,9.3,14.5,3.3,0.8,16.5,29.3,1.0,0.9,1.9,0.183,/players/nahshon-hyland-1.html
147,2015-16,Duke,ACC,18,18,670,20.4,0.548,0.512,0.433,0.328,301,5.6,17.1,11.5,12.8,1.3,3.6,14.1,25.9,1.4,0.7,2.1,0.123,/players/brandon-ingram-1.html
148,2017-18,Michigan State,Big Ten,18,17,400,31.8,0.694,0.659,0.444,0.579,187,5.7,17.7,12.5,10.2,1.5,15.5,13.0,24.4,1.5,1.0,2.6,0.255,/players/jaren-jacksonjr-1.html
149,2016-17,Kansas,Big 12,18,18,572,22.8,0.555,0.543,0.206,0.448,299,8.7,17.3,13.2,19.6,3.0,2.6,17.4,27.8,1.3,0.9,2.1,0.149,/players/josh-jackson-2.html
150,2014-15,UNC,ACC,18,17,514,17.5,0.542,0.52,0.252,0.298,185,6.1,10.2,8.3,14.9,0.8,2.7,11.8,19.0,1.2,0.4,1.6,0.121,/players/justin-jackson-4.html
151,2015-16,UNC,ACC,18,16,519,16.5,0.497,0.484,0.268,0.2,204,6.4,6.9,6.7,16.1,0.7,1.5,6.7,19.9,1.2,0.4,1.7,0.128,/players/justin-jackson-4.html
152,2016-17,UNC,ACC,18,17,586,20.8,0.542,0.524,0.483,0.179,303,5.6,10.0,7.7,13.2,0.8,1.2,9.5,27.6,1.9,0.4,2.3,0.159,/players/justin-jackson-4.html
153,2014-15,UNC,ACC,18,17,514,17.5,0.542,0.52,0.252,0.298,185,6.1,10.2,8.3,14.9,0.8,2.7,11.8,19.0,1.2,0.4,1.6,0.121,/players/justin-jackson-4.html
154,2015-16,UNC,ACC,18,16,519,16.5,0.497,0.484,0.268,0.2,204,6.4,6.9,6.7,16.1,0.7,1.5,6.7,19.9,1.2,0.4,1.7,0.128,/players/justin-jackson-4.html
155,2016-17,UNC,ACC,18,17,586,20.8,0.542,0.524,0.483,0.179,303,5.6,10.0,7.7,13.2,0.8,1.2,9.5,27.6,1.9,0.4,2.3,0.159,/players/justin-jackson-4.html
156,2013-14,Vanderbilt,SEC,18,18,525,16.7,0.534,0.513,0.0,0.481,187,8.8,16.4,12.8,2.7,0.9,5.5,15.8,24.9,0.4,0.8,1.2,0.088,/players/damian-jones-1.html
157,2014-15,Vanderbilt,SEC,18,17,529,19.1,0.534,0.533,0.006,0.594,200,8.2,15.4,11.9,4.3,1.2,7.9,14.5,25.9,0.6,0.8,1.4,0.104,/players/damian-jones-1.html
158,2015-16,Vanderbilt,SEC,18,18,478,24.6,0.623,0.628,0.006,0.488,236,10.5,18.3,14.7,7.7,0.4,5.3,14.5,26.1,1.3,0.8,2.1,0.174,/players/damian-jones-1.html
159,2017-18,Alabama,SEC,17,7,362,8.9,0.397,0.397,0.231,0.141,76,6.5,13.3,10.0,10.1,3.1,4.4,20.9,14.8,-0.3,0.7,0.4,0.047,/players/herb-jones-3.html
160,2018-19,Alabama,SEC,18,13,361,12.3,0.485,0.473,0.088,0.473,122,5.6,10.8,8.3,21.0,2.5,2.2,22.8,20.0,0.1,0.5,0.6,0.062,/players/herb-jones-3.html
161,2019-20,Alabama,SEC,15,14,410,18.8,0.556,0.507,0.072,0.913,133,9.4,18.8,14.0,13.5,3.0,2.6,11.6,12.7,1.0,0.5,1.6,0.155,/players/herb-jones-3.html
162,2020-21,Alabama,SEC,18,18,461,19.8,0.532,0.489,0.211,0.43,209,6.9,15.7,11.4,23.7,3.6,4.0,21.9,21.5,0.8,1.2,2.0,0.173,/players/herb-jones-3.html
163,2010-11,Texas,Big 12,16,16,523,15.2,0.533,0.515,0.407,0.207,160,2.9,9.8,6.5,17.1,1.8,0.9,12.9,16.6,1.1,1.0,2.1,0.157,/players/cory-joseph-1.html
164,2011-12,Kentucky,SEC,16,16,509,19.9,0.506,0.432,0.128,0.56,184,11.4,20.4,16.3,12.5,2.5,3.2,17.3,20.6,1.2,1.0,2.1,0.168,/players/michael-kidd-gilchrist-1.html
165,2010-11,Kentucky,SEC,16,16,592,19.5,0.567,0.519,0.418,0.351,275,2.4,12.9,7.7,22.3,0.8,0.5,15.9,25.2,1.8,0.5,2.3,0.156,/players/brandon-knight-1.html
166,2014-15,Utah,Pac-12,16,0,118,13.2,0.485,0.473,0.514,0.297,42,5.9,22.5,14.9,16.4,0.0,2.7,15.9,24.5,0.1,0.3,0.4,0.123,/players/kyle-kuzma-1.html
167,2015-16,Utah,Pac-12,18,17,452,17.2,0.526,0.517,0.125,0.34,182,9.9,17.1,13.7,14.1,1.2,1.9,18.1,24.0,0.5,0.7,1.3,0.111,/players/kyle-kuzma-1.html
168,2016-17,Utah,Pac-12,17,17,537,25.8,0.575,0.557,0.225,0.312,286,10.9,23.6,17.5,13.2,1.2,1.2,12.0,27.3,1.7,0.9,2.6,0.195,/players/kyle-kuzma-1.html
169,2013-14,UCLA,Pac-12,18,1,465,13.1,0.493,0.46,0.416,0.275,159,2.4,9.2,5.7,13.0,2.5,0.8,10.1,20.1,0.5,0.5,1.0,0.088,/players/zach-lavine-1.html
170,2010-11,San Diego State,MWC,16,16,526,24.8,0.472,0.407,0.129,0.41,254,13.7,29.2,21.6,17.1,2.8,1.9,13.5,28.4,1.3,1.4,2.7,0.204,/players/kawhi-leonard-1.html
171,2010-11,Weber State,Big Sky,1,0,2,0.0,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.001,/players/damian-lillard-1.html
172,2011-12,Weber State,Big Sky,16,16,558,33.9,0.634,0.558,0.453,0.551,371,0.8,14.6,8.2,26.0,2.6,1.0,10.2,32.7,3.5,0.7,4.1,0.297,/players/damian-lillard-1.html
173,2014-15,UCLA,Pac-12,18,18,569,22.6,0.561,0.543,0.172,0.368,210,10.9,22.6,16.6,8.2,2.6,2.1,10.3,19.8,1.5,1.0,2.5,0.176,/players/kevon-looney-1.html
174,2011-12,Furman,Southern,17,11,397,11.8,0.513,0.479,0.351,0.433,121,2.7,16.2,9.4,16.5,2.0,0.6,19.3,19.4,0.4,0.5,0.8,0.083,/players/jordan-loyd-1.html
175,2016-17,Arizona,Pac-12,18,18,527,23.8,0.624,0.576,0.429,0.39,238,10.3,20.6,15.7,3.8,0.8,1.3,9.1,22.8,2.0,0.8,2.8,0.212,/players/lauri-markkanen-1.html
176,2011-12,UNC,ACC,16,0,216,11.1,0.407,0.365,0.0,0.397,61,8.8,18.8,13.9,2.3,1.3,1.4,7.4,17.4,0.2,0.4,0.6,0.103,/players/james-michael-mcadoo-1.html
177,2012-13,UNC,ACC,18,18,565,16.8,0.458,0.438,0.008,0.383,244,8.7,20.2,14.1,7.1,2.7,1.8,13.4,28.8,0.4,0.9,1.2,0.088,/players/james-michael-mcadoo-1.html
178,2013-14,UNC,ACC,18,18,537,20.9,0.484,0.475,0.0,0.621,242,11.1,15.6,13.3,11.1,2.3,3.0,8.9,25.7,1.0,0.9,1.9,0.142,/players/james-michael-mcadoo-1.html
179,2014-15,UNLV,MWC,17,13,552,19.6,0.598,0.581,0.6,0.2,200,2.9,7.1,5.1,22.0,2.9,0.9,13.7,19.8,1.4,0.5,1.9,0.141,/players/patrick-mccaw-1.html
180,2015-16,UNLV,MWC,18,18,610,19.3,0.562,0.519,0.561,0.337,247,3.1,13.9,8.5,22.5,3.5,1.3,14.2,19.5,1.2,1.1,2.3,0.149,/players/patrick-mccaw-1.html
181,2010-11,Lehigh,Patriot,14,14,507,27.1,0.514,0.438,0.313,0.408,313,8.3,21.9,14.9,16.7,3.7,2.7,12.2,34.3,1.5,0.8,2.2,0.177,/players/cj-mccollum-1.html
182,2011-12,Lehigh,Patriot,14,14,487,36.1,0.568,0.522,0.308,0.332,317,5.4,22.3,13.7,25.2,4.4,2.4,7.3,34.1,2.7,1.1,3.8,0.314,/players/cj-mccollum-1.html
183,2010-11,Tennessee,SEC,1,0,3,0.0,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.008,/players/jordan-mcrae-1.html
184,2011-12,Tennessee,SEC,16,0,353,16.7,0.508,0.472,0.449,0.336,125,4.8,16.8,11.3,18.0,1.4,3.6,14.5,22.2,0.6,0.6,1.2,0.135,/players/jordan-mcrae-1.html
185,2012-13,Tennessee,SEC,18,18,677,20.9,0.572,0.522,0.386,0.43,321,5.1,12.9,9.0,13.5,1.4,2.5,17.5,28.9,2.0,0.5,2.5,0.147,/players/jordan-mcrae-1.html
186,2013-14,Tennessee,SEC,18,18,597,22.2,0.559,0.502,0.472,0.421,304,1.6,11.2,6.5,18.1,0.9,2.5,11.7,30.4,2.0,0.9,2.9,0.196,/players/jordan-mcrae-1.html
187,2016-17,Utah State,MWC,18,16,546,19.0,0.589,0.555,0.484,0.2,207,2.0,10.8,6.7,26.4,2.4,1.0,11.5,18.3,1.5,0.6,2.1,0.152,/players/sam-merrill-1.html
188,2017-18,Utah State,MWC,18,18,646,21.3,0.695,0.674,0.57,0.164,271,0.8,10.3,5.6,16.3,1.7,1.0,12.5,20.9,2.1,0.3,2.4,0.151,/players/sam-merrill-1.html
189,2018-19,Utah State,MWC,18,18,667,25.0,0.592,0.527,0.457,0.394,371,1.4,10.5,6.1,24.4,1.8,1.1,9.2,28.5,2.9,0.8,3.7,0.222,/players/sam-merrill-1.html
190,2019-20,Utah State,MWC,18,18,642,25.5,0.63,0.571,0.546,0.378,323,0.4,9.9,5.3,25.0,1.6,0.6,9.1,24.9,2.9,0.9,3.8,0.238,/players/sam-merrill-1.html
191,2010-11,Texas A&M,Big 12,16,16,506,19.9,0.528,0.474,0.306,0.393,224,8.9,15.6,12.3,23.5,2.4,0.0,18.6,28.0,1.1,0.5,1.6,0.129,/players/khris-middleton-1.html
192,2011-12,Texas A&M,Big 12,13,10,378,16.2,0.464,0.433,0.327,0.253,151,5.3,19.8,12.3,14.9,1.5,1.6,13.4,28.9,0.2,0.3,0.6,0.058,/players/khris-middleton-1.html
193,2011-12,Holy Cross,Patriot,7,0,38,10.7,0.548,0.6,0.8,0.2,5,0.0,19.7,10.2,5.3,1.6,6.1,15.4,9.3,0.0,0.1,0.1,0.082,/players/malcolm-miller-1.html
194,2012-13,Holy Cross,Patriot,11,11,303,13.7,0.555,0.569,0.471,0.647,74,2.9,26.1,15.0,13.6,1.5,2.3,20.3,16.1,0.3,0.3,0.5,0.073,/players/malcolm-miller-1.html
195,2013-14,Holy Cross,Patriot,18,18,559,20.9,0.57,0.529,0.333,0.321,197,4.5,21.1,12.7,14.9,1.8,6.9,15.1,21.1,1.1,1.1,2.2,0.159,/players/malcolm-miller-1.html
196,2014-15,Holy Cross,Patriot,18,18,585,26.5,0.641,0.584,0.419,0.483,241,4.7,19.1,11.2,8.5,2.6,5.5,10.6,22.6,2.2,0.6,2.8,0.193,/players/malcolm-miller-1.html
