,SEASON,SCHOOL,CONF,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,COLLEGE_URL,3P%
10,2017-18,TCU,Big 12,18,17,31.3,4.7,8.8,0.532,3.0,5.1,0.593,1.7,3.7,2.4,2.9,0.827,0.6,3.3,3.8,2.6,0.9,0.2,1.7,2.3,13.4,/players/desmond-bane-1.html,0.448
11,2018-19,TCU,Big 12,18,18,37.0,6.2,12.7,0.491,4.2,8.2,0.51,2.1,4.5,1.6,1.8,0.879,1.7,3.8,5.4,1.9,1.2,0.3,1.6,2.8,16.1,/players/desmond-bane-1.html,0.457
12,2019-20,TCU,Big 12,18,18,36.0,6.1,14.0,0.437,2.9,6.9,0.419,3.2,7.1,1.3,1.7,0.774,1.2,4.8,6.0,4.1,1.3,0.6,2.5,2.2,16.8,/players/desmond-bane-1.html,0.453
13,2010-11,UNC,ACC,16,15,28.5,5.9,13.8,0.43,4.3,8.6,0.493,1.7,5.2,2.4,3.1,0.76,2.0,3.6,5.6,1.1,0.6,0.5,1.9,1.7,15.9,/players/harrison-barnes-1.html,0.325
14,2011-12,UNC,ACC,16,15,30.1,6.1,14.2,0.432,4.8,10.3,0.467,1.3,3.9,4.0,5.4,0.736,2.1,3.3,5.4,0.9,1.1,0.3,1.8,2.1,17.6,/players/harrison-barnes-1.html,0.339
15,2020-21,Florida State,ACC,14,2,23.9,4.2,8.4,0.504,3.9,6.8,0.568,0.4,1.6,1.9,2.9,0.675,1.6,2.9,4.6,4.1,1.5,0.6,2.1,2.3,10.7,/players/scottie-barnes-1.html,0.227
16,2011-12,Florida,SEC,16,16,34.6,4.3,9.9,0.434,2.9,5.6,0.528,1.4,4.4,4.4,5.3,0.824,1.3,5.8,7.0,1.9,1.4,0.9,1.9,2.4,14.4,/players/bradley-beal-1.html,0.314
17,2014-15,Oregon,Pac-12,17,14,25.9,2.4,3.8,0.615,2.4,3.8,0.615,0.0,0.0,0.5,1.1,0.5,1.9,4.2,6.1,1.4,1.0,2.4,1.0,3.0,5.2,/players/jordan-bell-1.html,
18,2015-16,Oregon,Pac-12,18,1,19.4,2.8,4.6,0.614,2.8,4.6,0.614,0.0,0.0,0.9,1.8,0.485,1.4,3.2,4.7,1.2,0.8,1.4,1.6,2.6,6.6,/players/jordan-bell-1.html,
19,2016-17,Oregon,Pac-12,18,18,28.3,4.8,7.3,0.656,4.7,6.9,0.68,0.1,0.3,1.6,2.4,0.659,2.4,5.2,7.6,2.4,1.6,1.7,1.3,1.9,11.2,/players/jordan-bell-1.html,0.167
20,2018-19,Villanova,Big East,18,15,31.2,3.4,7.0,0.484,1.7,2.9,0.566,1.7,4.1,0.5,0.9,0.563,2.5,3.1,5.6,1.2,1.0,0.2,0.7,2.3,9.0,/players/saddiq-bey-1.html,0.425
21,2019-20,Villanova,Big East,18,18,35.3,5.9,12.6,0.469,2.6,5.8,0.452,3.3,6.8,2.2,3.0,0.741,1.1,3.1,4.2,2.1,0.9,0.3,1.7,2.6,17.3,/players/saddiq-bey-1.html,0.484
22,2014-15,Kentucky,SEC,18,0,23.7,4.0,8.5,0.471,2.4,4.8,0.512,1.6,3.7,1.9,2.4,0.814,0.6,1.7,2.2,1.2,0.3,0.0,0.9,1.3,11.5,/players/devin-booker-2.html,0.418
23,2015-16,Oregon,Pac-12,18,17,26.2,4.2,7.4,0.56,3.1,4.2,0.724,1.1,3.2,2.8,3.7,0.758,2.3,4.4,6.7,0.4,0.8,3.1,0.7,3.0,12.2,/players/chris-boucher-1.html,0.345
24,2016-17,Oregon,Pac-12,18,1,22.4,4.1,8.6,0.481,2.8,4.8,0.575,1.3,3.7,1.3,2.4,0.535,1.2,4.1,5.3,0.3,0.3,2.3,0.8,2.6,10.8,/players/chris-boucher-1.html,0.358
