,SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,URL,3P%,Trp Dbl
145,2011-12,22.0,SAS,NBA,SG,8.0,0.0,31.0,4.0,9.0,0.444,2.0,4.0,2.0,5.0,0.4,0.556,1.0,2.0,0.5,0.0,5.0,5.0,3.0,1.0,0.0,0.0,1.0,11.0,/players/a/anderja01.html,0.5,
146,2012-13,23.0,HOU,NBA,SG,2.0,0.0,18.0,1.0,5.0,0.2,0.0,3.0,1.0,2.0,0.5,0.2,0.0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,/players/a/anderja01.html,0.0,
147,2011-12,22.0,SAS,NBA,SG,8.0,0.0,31.0,4.0,9.0,0.444,2.0,4.0,2.0,5.0,0.4,0.556,1.0,2.0,0.5,0.0,5.0,5.0,3.0,1.0,0.0,0.0,1.0,11.0,/players/a/anderja01.html,0.5,
148,2012-13,23.0,HOU,NBA,SG,2.0,0.0,18.0,1.0,5.0,0.2,0.0,3.0,1.0,2.0,0.5,0.2,0.0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,/players/a/anderja01.html,0.0,
149,2015-16,22.0,DAL,NBA,SF,5.0,1.0,95.0,17.0,37.0,0.459,4.0,13.0,13.0,24.0,0.542,0.514,9.0,14.0,0.643,9.0,11.0,20.0,7.0,4.0,3.0,5.0,12.0,47.0,/players/a/anderju01.html,0.308,
150,2017-18,24.0,PHI,NBA,SF,7.0,0.0,33.0,3.0,8.0,0.375,2.0,7.0,1.0,1.0,1.0,0.5,0.0,0.0,,1.0,8.0,9.0,0.0,1.0,0.0,2.0,8.0,8.0,/players/a/anderju01.html,0.286,
151,2019-20,26.0,BRK,NBA,SG,3.0,0.0,28.0,5.0,12.0,0.417,5.0,11.0,0.0,1.0,0.0,0.625,4.0,4.0,1.0,0.0,8.0,8.0,3.0,0.0,1.0,2.0,2.0,19.0,/players/a/anderju01.html,0.455,
152,1991-92,21.0,NJN,NBA,PG,3.0,0.0,24.0,3.0,9.0,0.333,0.0,0.0,3.0,9.0,0.333,0.333,2.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,0.0,1.0,1.0,8.0,/players/a/anderke01.html,,
153,1993-94,23.0,NJN,NBA,PG,4.0,4.0,181.0,19.0,54.0,0.352,3.0,10.0,16.0,44.0,0.364,0.38,22.0,33.0,0.667,2.0,10.0,12.0,27.0,9.0,0.0,9.0,11.0,63.0,/players/a/anderke01.html,0.3,
154,1996-97,26.0,POR,NBA,PG,4.0,4.0,169.0,22.0,46.0,0.478,5.0,19.0,17.0,27.0,0.63,0.533,19.0,20.0,0.95,2.0,15.0,17.0,19.0,7.0,1.0,11.0,10.0,68.0,/players/a/anderke01.html,0.263,
155,2001-02,31.0,BOS,NBA,PG,16.0,16.0,560.0,82.0,197.0,0.416,0.0,0.0,82.0,197.0,0.416,0.416,28.0,35.0,0.8,13.0,37.0,50.0,76.0,21.0,0.0,28.0,58.0,192.0,/players/a/anderke01.html,,
156,2002-03,32.0,NOH,NBA,PG,5.0,0.0,51.0,4.0,12.0,0.333,0.0,0.0,4.0,12.0,0.333,0.333,3.0,3.0,1.0,0.0,2.0,2.0,9.0,3.0,0.0,4.0,6.0,11.0,/players/a/anderke01.html,,
157,2003-04,33.0,IND,NBA,PG,4.0,0.0,19.0,2.0,7.0,0.286,0.0,0.0,2.0,7.0,0.286,0.286,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,5.0,3.0,4.0,/players/a/anderke01.html,,
158,2015-16,22.0,SAS,NBA,SF,10.0,0.0,129.0,8.0,25.0,0.32,1.0,3.0,7.0,22.0,0.318,0.34,6.0,7.0,0.857,2.0,22.0,24.0,7.0,6.0,3.0,4.0,11.0,23.0,/players/a/anderky01.html,0.333,
159,2016-17,23.0,SAS,NBA,SF,15.0,1.0,195.0,36.0,64.0,0.563,3.0,10.0,33.0,54.0,0.611,0.586,8.0,11.0,0.727,12.0,34.0,46.0,25.0,10.0,2.0,7.0,8.0,83.0,/players/a/anderky01.html,0.3,
160,2017-18,24.0,SAS,NBA,SF,5.0,1.0,73.0,12.0,20.0,0.6,0.0,4.0,12.0,16.0,0.75,0.6,3.0,4.0,0.75,5.0,8.0,13.0,3.0,6.0,1.0,3.0,10.0,27.0,/players/a/anderky01.html,0.0,
161,2020-21,27.0,MEM,NBA,PF,5.0,5.0,142.0,18.0,42.0,0.429,3.0,12.0,15.0,30.0,0.5,0.464,3.0,4.0,0.75,4.0,21.0,25.0,16.0,14.0,0.0,4.0,9.0,42.0,/players/a/anderky01.html,0.25,
162,2021-22,28.0,MEM,NBA,PF,12.0,1.0,221.0,29.0,51.0,0.569,3.0,12.0,26.0,39.0,0.667,0.598,11.0,18.0,0.611,10.0,42.0,52.0,21.0,11.0,7.0,10.0,22.0,72.0,/players/a/anderky01.html,0.25,
163,1993-94,26.0,ORL,NBA,SG,3.0,3.0,120.0,13.0,34.0,0.382,8.0,20.0,5.0,14.0,0.357,0.5,9.0,12.0,0.75,2.0,8.0,10.0,10.0,5.0,2.0,5.0,8.0,43.0,/players/a/anderni01.html,0.4,
164,1994-95,27.0,ORL,NBA,SG,21.0,21.0,814.0,107.0,239.0,0.448,41.0,107.0,66.0,132.0,0.5,0.533,43.0,63.0,0.683,21.0,79.0,100.0,65.0,33.0,10.0,30.0,49.0,298.0,/players/a/anderni01.html,0.383,
165,1995-96,28.0,ORL,NBA,SG,11.0,11.0,418.0,55.0,127.0,0.433,18.0,63.0,37.0,64.0,0.578,0.504,28.0,45.0,0.622,16.0,39.0,55.0,21.0,21.0,5.0,21.0,22.0,156.0,/players/a/anderni01.html,0.286,
166,1996-97,29.0,ORL,NBA,SG,5.0,5.0,130.0,12.0,36.0,0.333,4.0,15.0,8.0,21.0,0.381,0.389,0.0,2.0,0.0,3.0,26.0,29.0,3.0,3.0,9.0,6.0,8.0,28.0,/players/a/anderni01.html,0.267,
167,1998-99,31.0,ORL,NBA,SF,4.0,4.0,152.0,29.0,79.0,0.367,11.0,42.0,18.0,37.0,0.486,0.437,14.0,19.0,0.737,7.0,20.0,27.0,9.0,9.0,0.0,10.0,12.0,83.0,/players/a/anderni01.html,0.262,
168,1999-00,32.0,SAC,NBA,SG,5.0,5.0,132.0,11.0,34.0,0.324,7.0,20.0,4.0,14.0,0.286,0.426,7.0,8.0,0.875,4.0,13.0,17.0,2.0,1.0,3.0,4.0,9.0,36.0,/players/a/anderni01.html,0.35,
169,2009-10,21.0,ORL,NBA,PF,9.0,0.0,89.0,9.0,29.0,0.31,4.0,14.0,5.0,15.0,0.333,0.379,1.0,1.0,1.0,8.0,23.0,31.0,3.0,2.0,2.0,5.0,12.0,23.0,/players/a/anderry01.html,0.286,
170,2010-11,22.0,ORL,NBA,PF,6.0,0.0,147.0,8.0,30.0,0.267,6.0,20.0,2.0,10.0,0.2,0.367,6.0,6.0,1.0,10.0,17.0,27.0,3.0,5.0,1.0,1.0,16.0,28.0,/players/a/anderry01.html,0.3,
171,2011-12,23.0,ORL,NBA,PF,5.0,5.0,172.0,15.0,44.0,0.341,12.0,30.0,3.0,14.0,0.214,0.477,6.0,7.0,0.857,9.0,14.0,23.0,4.0,3.0,2.0,9.0,22.0,48.0,/players/a/anderry01.html,0.4,
172,2014-15,26.0,NOP,NBA,PF,4.0,0.0,95.0,16.0,36.0,0.444,5.0,12.0,11.0,24.0,0.458,0.514,6.0,6.0,1.0,7.0,10.0,17.0,9.0,0.0,2.0,4.0,12.0,43.0,/players/a/anderry01.html,0.417,
173,2016-17,28.0,HOU,NBA,PF,11.0,9.0,336.0,36.0,92.0,0.391,17.0,60.0,19.0,32.0,0.594,0.484,14.0,16.0,0.875,15.0,42.0,57.0,7.0,4.0,2.0,9.0,24.0,103.0,/players/a/anderry01.html,0.283,
174,2017-18,29.0,HOU,NBA,PF,11.0,0.0,95.0,7.0,20.0,0.35,5.0,15.0,2.0,5.0,0.4,0.475,0.0,0.0,,4.0,9.0,13.0,6.0,3.0,1.0,3.0,10.0,19.0,/players/a/anderry01.html,0.333,
175,1996-97,23.0,UTA,NBA,SG,18.0,0.0,296.0,29.0,66.0,0.439,5.0,12.0,24.0,54.0,0.444,0.477,20.0,28.0,0.714,20.0,28.0,48.0,13.0,11.0,1.0,13.0,28.0,83.0,/players/a/andersh01.html,0.417,
176,1997-98,24.0,UTA,NBA,SG,20.0,0.0,378.0,53.0,103.0,0.515,3.0,11.0,50.0,92.0,0.543,0.529,25.0,37.0,0.676,26.0,37.0,63.0,19.0,5.0,1.0,30.0,30.0,134.0,/players/a/andersh01.html,0.273,
177,1998-99,25.0,UTA,NBA,SG,11.0,0.0,297.0,37.0,77.0,0.481,6.0,14.0,31.0,63.0,0.492,0.519,24.0,34.0,0.706,8.0,33.0,41.0,13.0,6.0,3.0,14.0,34.0,104.0,/players/a/andersh01.html,0.429,
178,2003-04,30.0,NYK,NBA,SG,4.0,4.0,117.0,7.0,27.0,0.259,2.0,7.0,5.0,20.0,0.25,0.296,1.0,2.0,0.5,5.0,4.0,9.0,11.0,4.0,1.0,8.0,19.0,17.0,/players/a/andersh01.html,0.286,
179,2004-05,31.0,MIA,NBA,SF,8.0,0.0,97.0,3.0,12.0,0.25,0.0,1.0,3.0,11.0,0.273,0.25,2.0,2.0,1.0,3.0,16.0,19.0,8.0,5.0,0.0,6.0,10.0,8.0,/players/a/andersh01.html,0.0,
180,2005-06,32.0,MIA,NBA,SF,13.0,0.0,90.0,4.0,13.0,0.308,1.0,3.0,3.0,10.0,0.3,0.346,4.0,6.0,0.667,3.0,9.0,12.0,4.0,0.0,1.0,6.0,8.0,13.0,/players/a/andersh01.html,0.333,
181,1989-90,23.0,SAS,NBA,SG,10.0,10.0,375.0,87.0,168.0,0.518,2.0,5.0,85.0,163.0,0.521,0.524,29.0,36.0,0.806,16.0,38.0,54.0,52.0,9.0,4.0,26.0,40.0,205.0,/players/a/anderwi01.html,0.4,
182,1990-91,24.0,SAS,NBA,SG,4.0,4.0,159.0,33.0,68.0,0.485,2.0,10.0,31.0,58.0,0.534,0.5,8.0,13.0,0.615,2.0,17.0,19.0,19.0,6.0,2.0,13.0,16.0,76.0,/players/a/anderwi01.html,0.2,
183,1992-93,26.0,SAS,NBA,SG,10.0,0.0,219.0,37.0,82.0,0.451,6.0,11.0,31.0,71.0,0.437,0.488,15.0,17.0,0.882,4.0,19.0,23.0,28.0,9.0,2.0,12.0,23.0,95.0,/players/a/anderwi01.html,0.545,
