,SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,URL,3P%
44,1986-87,23.0,DEN,NBA,PF,3.0,0.0,13.7,3.0,5.0,0.6,0.0,0.0,3.0,5.0,0.6,0.6,0.7,0.7,1.0,0.0,1.7,1.7,0.3,0.7,0.7,1.3,3.0,6.7,/players/a/alarima01.html,
45,1987-88,24.0,WSB,NBA,PF,1.0,0.0,4.0,1.0,2.0,0.5,1.0,2.0,0.0,0.0,,0.75,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,/players/a/alarima01.html,0.5
46,2011-12,23.0,OKC,NBA,C,5.0,0.0,5.0,0.8,1.8,0.444,0.0,0.0,0.8,1.8,0.444,0.444,0.4,0.8,0.5,1.0,1.6,2.6,0.0,0.0,0.0,0.0,0.6,2.0,/players/a/aldrico01.html,
47,2015-16,27.0,LAC,NBA,C,6.0,0.0,12.8,1.7,2.5,0.667,0.0,0.0,1.7,2.5,0.667,0.667,0.5,1.0,0.5,1.3,3.7,5.0,0.5,1.0,0.5,0.3,1.8,3.8,/players/a/aldrico01.html,
48,2008-09,23.0,POR,NBA,PF,6.0,6.0,39.5,8.5,17.3,0.49,0.2,0.7,8.3,16.7,0.5,0.495,2.3,3.3,0.7,1.5,6.0,7.5,1.3,0.5,1.7,1.7,2.7,19.5,/players/a/aldrila01.html,0.25
49,2009-10,24.0,POR,NBA,PF,6.0,6.0,38.2,6.7,15.5,0.43,0.2,0.3,6.5,15.2,0.429,0.435,5.5,7.3,0.75,1.7,4.3,6.0,2.2,1.2,1.8,1.8,2.7,19.0,/players/a/aldrila01.html,0.5
50,2010-11,25.0,POR,NBA,PF,6.0,6.0,43.0,8.8,19.2,0.461,0.0,0.0,8.8,19.2,0.461,0.461,3.2,4.0,0.792,2.7,4.8,7.5,1.3,1.3,1.7,1.5,3.2,20.8,/players/a/aldrila01.html,
51,2013-14,28.0,POR,NBA,PF,11.0,11.0,40.1,10.3,22.7,0.452,0.2,0.3,10.1,22.5,0.449,0.456,5.5,6.8,0.8,2.7,7.9,10.6,1.5,0.6,1.6,1.7,3.6,26.2,/players/a/aldrila01.html,0.667
52,2014-15,29.0,POR,NBA,PF,5.0,5.0,41.6,7.4,22.4,0.33,0.6,2.2,6.8,20.2,0.337,0.344,6.4,7.2,0.889,4.2,7.0,11.2,1.8,0.4,2.4,1.6,3.2,21.8,/players/a/aldrila01.html,0.273
53,2015-16,30.0,SAS,NBA,PF,10.0,10.0,33.7,8.8,16.9,0.521,0.2,0.2,8.6,16.7,0.515,0.527,4.1,4.6,0.891,2.2,6.1,8.3,1.0,0.4,1.4,1.1,1.8,21.9,/players/a/aldrila01.html,1.0
