,SEASON,SCHOOL,CONF,G,MP,TS%,eFG%,3PAr,FTr,TOV%,COLLEGE_URL,GS,OWS,DWS,WS,WS/40,PER,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OBPM,DBPM,BPM
423,1984-85,Wyoming,WAC,29.0,1064.0,0.529,,,0.421,,/players/fennis-dembo-1.html,,,,,,,,,,,,,,,,,
424,1985-86,Wyoming,WAC,34.0,1169.0,0.581,,,0.383,,/players/fennis-dembo-1.html,,,,,,,,,,,,,,,,,
425,1986-87,Wyoming,WAC,34.0,1236.0,0.626,0.595,0.392,0.365,16.0,/players/fennis-dembo-1.html,,,,,,,,,,,,,,,,,
426,1987-88,Wyoming,WAC,32.0,1076.0,0.613,0.552,0.412,0.502,,/players/fennis-dembo-1.html,,,,,,,,,,,,,,,,,
427,2003-04,Duke,ACC,37.0,1149.0,0.551,0.522,0.252,0.313,14.1,/players/luol-deng-1.html,32.0,2.4,3.2,5.6,0.195,,,,,12.6,11.8,,2.3,24.7,,,
428,2015-16,Villanova,Big East,9.0,74.0,0.357,0.357,0.81,0.0,25.0,/players/donte-divincenzo-1.html,1.0,-0.1,0.2,0.1,0.044,6.5,22.0,17.3,9.0,12.8,9.1,3.2,0.0,19.9,-3.9,2.9,-1.0
429,2016-17,Villanova,Big East,36.0,919.0,0.582,0.556,0.491,0.355,15.7,/players/donte-divincenzo-1.html,1.0,1.9,1.7,3.6,0.157,16.9,321.0,5.5,12.8,9.4,12.0,2.2,1.3,19.0,3.6,3.3,6.9
430,2017-18,Villanova,Big East,40.0,1170.0,0.608,0.59,0.542,0.274,15.2,/players/donte-divincenzo-1.html,10.0,3.7,1.8,5.5,0.188,20.9,557.0,4.9,13.9,9.6,20.0,2.0,0.7,22.4,6.1,2.9,9.0
431,2016-17,Virginia,ACC,32.0,449.0,0.562,0.56,0.12,0.359,10.8,/players/mamadi-diakite-1.html,0.0,0.7,1.2,1.9,0.169,16.7,115.0,8.2,15.3,11.8,2.7,1.2,12.0,15.6,-1.0,6.5,5.5
432,2017-18,Virginia,ACC,34.0,532.0,0.609,0.577,0.0,0.315,14.8,/players/mamadi-diakite-1.html,0.0,0.9,1.4,2.4,0.178,17.4,165.0,7.6,16.4,12.1,2.0,1.9,4.1,19.2,-0.7,4.3,3.7
433,2018-19,Virginia,ACC,38.0,829.0,0.578,0.561,0.077,0.227,12.2,/players/mamadi-diakite-1.html,22.0,1.7,2.2,3.8,0.185,20.4,262.0,9.0,15.9,12.7,3.0,1.3,10.2,19.2,1.9,4.9,6.8
434,2019-20,Virginia,ACC,30.0,985.0,0.554,0.51,0.175,0.389,14.7,/players/mamadi-diakite-1.html,30.0,1.6,2.8,4.4,0.179,20.4,369.0,6.4,18.8,12.9,5.0,1.6,5.3,25.9,2.5,4.1,6.6
435,1994-95,Arizona,Pac-10,29.0,330.0,0.613,0.591,0.204,0.441,17.6,/players/michael-dickerson-1.html,0.0,,,,,,,,,,,,,,,,
436,1995-96,Arizona,Pac-10,32.0,736.0,0.516,0.485,0.277,0.255,14.2,/players/michael-dickerson-1.html,11.0,1.1,1.0,2.1,0.113,,,,,,,,,,,,
437,1996-97,Arizona,Pac-10,34.0,1079.0,0.497,0.461,0.294,0.301,11.8,/players/michael-dickerson-1.html,34.0,1.3,1.5,2.8,0.102,,,,,,,,,,,,
438,1997-98,Arizona,Pac-10,35.0,988.0,0.594,0.57,0.298,0.254,12.5,/players/michael-dickerson-1.html,35.0,3.4,1.6,5.0,0.203,,,,,,,,,,,,
439,2010-11,Louisville,Big East,29.0,451.0,0.609,0.618,0.009,0.473,16.7,/players/gorgui-dieng-1.html,9.0,1.1,1.1,2.2,0.194,24.2,160.0,13.4,18.3,15.9,8.2,1.7,13.7,17.9,2.3,5.4,7.7
440,2011-12,Louisville,Big East,40.0,1312.0,0.556,0.527,0.007,0.391,19.6,/players/gorgui-dieng-1.html,40.0,1.8,3.6,5.4,0.165,19.9,375.0,11.7,19.7,15.7,6.6,2.1,10.4,15.5,1.4,6.4,7.8
441,2012-13,Louisville,Big East,33.0,1026.0,0.562,0.534,0.0,0.479,17.0,/players/gorgui-dieng-1.html,32.0,2.5,3.2,5.6,0.219,23.8,352.0,12.9,23.6,18.1,12.3,2.6,9.4,17.0,5.1,6.4,11.5
442,1994-95,Utah,WAC,34.0,547.0,0.52,0.453,0.006,0.542,14.8,/players/michael-doleac-1.html,1.0,,,,,,,,,,,,,,,,
443,1995-96,Utah,WAC,34.0,819.0,0.538,0.463,0.005,0.532,14.7,/players/michael-doleac-1.html,,1.2,2.4,3.6,0.175,,,,,,,,,,,,
444,1996-97,Utah,WAC,33.0,876.0,0.606,0.55,0.058,0.563,13.5,/players/michael-doleac-1.html,33.0,3.3,2.5,5.9,0.267,,,,,,,,,,,,
445,1997-98,Utah,WAC,32.0,878.0,0.586,0.507,0.095,0.636,,/players/michael-doleac-1.html,32.0,3.4,2.6,6.0,0.273,,,,,,,,,,,,
446,2018-19,Illinois,Big Ten,32.0,1000.0,0.526,0.501,0.379,0.253,14.6,/players/ayo-dosunmu-1.html,32.0,1.5,1.0,2.5,0.1,16.9,433.0,2.5,12.9,7.4,21.5,2.3,0.9,24.2,3.8,1.0,4.8
447,2019-20,Illinois,Big Ten,30.0,1006.0,0.549,0.52,0.242,0.252,15.2,/players/ayo-dosunmu-1.html,30.0,2.4,1.5,3.9,0.154,19.8,466.0,2.0,12.4,7.3,21.8,1.5,0.6,26.5,4.3,2.0,6.3
448,2020-21,Illinois,Big Ten,28.0,984.0,0.566,0.526,0.191,0.333,15.7,/players/ayo-dosunmu-1.html,28.0,3.3,1.8,5.1,0.207,24.0,572.0,3.9,15.9,10.4,29.2,1.8,0.6,29.5,6.4,3.1,9.5
449,1985-86,Syracuse,Big East,27.0,307.0,0.641,,,0.473,22.5,/players/sherman-douglas-1.html,0.0,,,,,,,,,,,,,,,,
450,1986-87,Syracuse,Big East,38.0,1240.0,0.589,0.549,0.106,0.438,17.8,/players/sherman-douglas-1.html,38.0,,,,,,,,,,,,,,,,
451,1987-88,Syracuse,Big East,35.0,1195.0,0.563,0.535,0.124,0.35,19.0,/players/sherman-douglas-1.html,34.0,,,,,,,,,,,,,,,,
452,1988-89,Syracuse,Big East,38.0,1348.0,0.597,0.585,0.213,0.349,19.3,/players/sherman-douglas-1.html,38.0,,,,,,,,,,,,,,,,
453,2011-12,UConn,Big East,34.0,967.0,0.509,0.538,0.007,0.301,13.5,/players/andre-drummond-1.html,30.0,1.4,1.5,2.9,0.121,21.9,328.0,14.2,17.0,15.6,3.4,1.8,9.9,20.9,2.0,2.9,4.9
454,2019-20,Oregon,Pac-12,28.0,844.0,0.529,0.492,0.461,0.257,11.2,/players/chris-duarte-1.html,28.0,2.1,1.4,3.5,0.167,21.1,346.0,6.2,15.8,11.2,10.4,3.4,2.1,23.7,5.5,2.5,8.1
455,2020-21,Oregon,Pac-12,26.0,886.0,0.657,0.633,0.478,0.262,14.8,/players/chris-duarte-1.html,26.0,3.3,1.4,4.7,0.211,26.6,406.0,2.7,14.5,8.6,15.9,3.4,2.9,23.9,8.0,3.5,11.5
456,1982-83,Eastern Illinois,Mid-Cont,30.0,669.0,0.56,,,0.448,21.4,/players/kevin-duckworth-1.html,29.0,,,,,,,,,,,,,,,,
457,1983-84,Eastern Illinois,Mid-Cont,28.0,642.0,0.617,,,0.403,15.1,/players/kevin-duckworth-1.html,25.0,,,,,,,,,,,,,,,,
458,1984-85,Eastern Illinois,Mid-Cont,28.0,733.0,0.543,,,0.384,13.6,/players/kevin-duckworth-1.html,29.0,,,,,,,,,,,,,,,,
459,1985-86,Eastern Illinois,Mid-Cont,32.0,1023.0,0.659,,,0.414,12.4,/players/kevin-duckworth-1.html,32.0,,,,,,,,,,,,,,,,
460,2003-04,Boston College,Big East,34.0,1156.0,0.556,0.496,0.202,0.613,16.3,/players/jared-dudley-1.html,34.0,2.1,2.2,4.3,0.149,,,,,11.5,17.1,,0.5,19.7,,,
461,2004-05,Boston College,Big East,30.0,1079.0,0.585,0.533,0.266,0.53,10.4,/players/jared-dudley-1.html,30.0,3.0,2.5,5.5,0.202,,,,,11.9,18.4,,0.5,21.9,,,
462,2005-06,Boston College,ACC,36.0,1340.0,0.582,0.535,0.234,0.601,12.0,/players/jared-dudley-1.html,36.0,3.4,2.0,5.4,0.163,,,,,,,,,,,,
463,2006-07,Boston College,ACC,30.0,1152.0,0.652,0.618,0.254,0.55,15.1,/players/jared-dudley-1.html,30.0,4.4,1.4,5.8,0.202,,,,,12.8,16.8,,0.6,23.0,,,
464,1981-82,McNeese State,Southland,29.0,,0.488,,,0.345,14.8,/players/joe-dumars-1.html,,,,,,,,,,,,,,,,,
465,1982-83,McNeese State,Southland,29.0,,0.49,0.44,0.016,0.405,11.8,/players/joe-dumars-1.html,,,,,,,,,,,,,,,,,
466,1983-84,McNeese State,Southland,31.0,,0.553,,,0.553,10.1,/players/joe-dumars-1.html,,,,,,,,,,,,,,,,,
467,1984-85,McNeese State,Southland,27.0,,0.568,,,0.471,11.3,/players/joe-dumars-1.html,,,,,,,,,,,,,,,,,
468,1987-88,Oklahoma State,Big 8,30.0,937.0,0.585,0.546,0.005,0.414,20.1,/players/richard-dumas-1.html,26.0,,,,,,,,,,,,,,,,
469,1988-89,Oklahoma State,Big 8,28.0,850.0,0.475,0.454,0.051,0.26,14.9,/players/richard-dumas-1.html,28.0,,,,,,,,,,,,,,,,
470,1989-90,Oklahoma State,Big 8,12.0,276.0,0.568,0.549,0.027,0.389,20.3,/players/richard-dumas-1.html,7.0,,,,,,,,,,,,,,,,
471,1993-94,Wake Forest,ACC,33.0,997.0,0.593,0.548,0.005,0.5,12.8,/players/tim-duncan-1.html,32.0,,,,,,,,,,,,,,,,
472,1994-95,Wake Forest,ACC,32.0,1168.0,0.628,0.595,0.02,0.452,17.5,/players/tim-duncan-1.html,32.0,,,,,,,,,,,,,,,,
473,1995-96,Wake Forest,ACC,32.0,1190.0,0.595,0.563,0.056,0.528,17.0,/players/tim-duncan-1.html,32.0,4.3,3.5,7.8,0.262,,,,,,,,,,,,
474,1996-97,Wake Forest,ACC,31.0,1137.0,0.629,0.616,0.057,0.699,16.2,/players/tim-duncan-1.html,31.0,5.5,4.9,10.4,0.367,,,,,,,,,,,,
475,2006-07,Texas,Big 12,35.0,1255.0,0.587,0.536,0.314,0.396,11.4,/players/kevin-durant-1.html,35.0,4.7,4.1,8.8,0.28,,,,,16.5,8.6,,3.5,33.2,,,
476,1991-92,UCLA,Pac-10,32.0,586.0,0.585,0.528,0.328,0.472,21.1,/players/tyus-edney-1.html,4.0,,,,,,,,,,,,,,,,
477,1992-93,UCLA,Pac-10,33.0,1207.0,0.61,0.541,0.279,0.534,23.8,/players/tyus-edney-1.html,33.0,,,,,,,,,,,,,,,,
478,1993-94,UCLA,Pac-10,28.0,891.0,0.58,0.507,0.218,0.548,19.5,/players/tyus-edney-1.html,28.0,,,,,,,,,,,,,,,,
479,1994-95,UCLA,Pac-10,32.0,976.0,0.599,0.539,0.224,0.619,19.5,/players/tyus-edney-1.html,32.0,,,,,,,,,,,,,,,,
480,2019-20,Georgia,SEC,32.0,1057.0,0.52,0.473,0.485,0.339,12.9,/players/anthony-edwards-2.html,32.0,2.5,1.1,3.6,0.136,20.8,573.0,2.5,14.8,8.7,17.9,2.3,1.7,30.4,4.8,0.7,5.5
481,1986-87,East Carolina,CAA,28.0,876.0,0.589,0.563,0.013,0.292,18.1,/players/blue-edwards-1.html,26.0,,,,,,,,,,,,,,,,
482,1988-89,East Carolina,CAA,29.0,987.0,0.608,0.574,0.095,0.378,12.6,/players/blue-edwards-1.html,29.0,,,,,,,,,,,,,,,,
483,1986-87,DePaul,Ind,31.0,1060.0,0.588,0.56,0.105,0.227,10.0,/players/kevin-edwards-1.html,30.0,,,,,,,,,8.4,16.5,,0.6,19.6,,,
484,1987-88,DePaul,Ind,30.0,999.0,0.591,0.563,0.136,0.257,13.6,/players/kevin-edwards-1.html,,,,,,,,,,,,,,,,,
485,1985-86,Arizona,Pac-10,32.0,1079.0,0.537,,,0.434,12.8,/players/sean-elliott-1.html,32.0,,,,,,,,,,,,,,,,
486,1986-87,Arizona,Pac-10,30.0,1046.0,0.592,0.55,0.217,0.402,17.1,/players/sean-elliott-1.html,30.0,,,,,,,,,,,,,,,,
487,1987-88,Arizona,Pac-10,38.0,1249.0,0.656,0.615,0.189,0.482,15.1,/players/sean-elliott-1.html,,,,,,,,,,,,,,,,,
488,1988-89,Arizona,Pac-10,33.0,1125.0,0.608,0.547,0.306,0.47,14.6,/players/sean-elliott-1.html,33.0,,,,,,,,,12.2,22.1,,0.6,30.0,,,
489,1988-89,Notre Dame,Ind,27.0,819.0,0.583,0.565,0.004,0.274,16.1,/players/laphonso-ellis-1.html,25.0,,,,,,,,,,,,,,,,
490,1989-90,Notre Dame,Ind,22.0,712.0,0.555,0.516,0.027,0.525,,/players/laphonso-ellis-1.html,,,,,,,,,,,,,,,,,
491,1990-91,Notre Dame,Ind,15.0,495.0,0.629,0.599,0.108,0.516,,/players/laphonso-ellis-1.html,,,,,,,,,,,,,,,,,
492,1991-92,Notre Dame,Ind,33.0,1194.0,0.647,0.636,0.025,0.539,16.9,/players/laphonso-ellis-1.html,,,,,,,,,,,,,,,,,
493,1985-86,Louisville,Metro,39.0,1194.0,0.577,,,0.348,12.0,/players/pervis-ellison-1.html,39.0,,,,,,,,,,,,,,,,
494,1986-87,Louisville,Metro,31.0,952.0,0.569,0.533,0.0,0.401,18.9,/players/pervis-ellison-1.html,31.0,,,,,,,,,,,,,,,,
495,1987-88,Louisville,Metro,35.0,1175.0,0.628,0.602,0.005,0.54,12.9,/players/pervis-ellison-1.html,,,,,,,,,,,,,,,,,
496,1988-89,Louisville,Metro,31.0,1014.0,0.626,0.615,0.003,0.382,16.3,/players/pervis-ellison-1.html,30.0,,,,,,,,,,,,,,,,
497,1997-98,California,Pac-10,26.0,478.0,0.465,0.431,0.0,0.398,,/players/francisco-elson-1.html,14.0,0.0,1.4,1.4,0.12,,,,,,,,,,,,
498,1998-99,California,Pac-10,32.0,632.0,0.502,0.513,0.0,0.327,16.6,/players/francisco-elson-1.html,28.0,0.4,2.7,3.1,0.197,,,,,,,,,,,,
499,1998-99,Fresno State,WAC,32.0,988.0,0.546,0.563,0.007,0.402,18.8,/players/melvin-ely-1.html,,1.4,2.2,3.6,0.147,,,,,,,,,,,,
500,1999-00,Fresno State,WAC,31.0,1035.0,0.616,0.606,0.0,0.259,16.3,/players/melvin-ely-1.html,31.0,2.6,1.9,4.5,0.173,,,,,,,,,,,,
501,2000-01,Fresno State,WAC,33.0,1009.0,0.605,0.583,0.0,0.468,16.9,/players/melvin-ely-1.html,33.0,3.2,3.1,6.3,0.248,,,,,,,,,,,,
502,2001-02,Fresno State,WAC,28.0,999.0,0.603,0.563,0.002,0.501,11.9,/players/melvin-ely-1.html,28.0,4.2,2.6,6.7,0.27,,,,,,,,,,,,
503,2013-14,Kansas,Big 12,28.0,647.0,0.655,0.629,0.029,0.836,21.6,/players/joel-embiid-1.html,20.0,1.8,1.7,3.4,0.213,28.2,307.0,12.7,27.3,20.5,11.5,2.3,11.7,23.4,5.0,6.9,11.9
504,2008-09,Memphis,CUSA,37.0,1072.0,0.529,0.489,0.246,0.384,18.2,/players/tyreke-evans-1.html,35.0,2.4,4.8,7.2,0.268,,,,,10.2,30.0,,2.2,33.1,,,
505,1981-82,Georgetown,Big East,37.0,1064.0,0.635,,,0.576,16.9,/players/patrick-ewing-1.html,36.0,,,,,,,,,,,,,,,,
506,1982-83,Georgetown,Big East,32.0,1024.0,0.591,,,0.602,14.5,/players/patrick-ewing-1.html,32.0,,,,,,,,,,,,,,,,
507,1983-84,Georgetown,Big East,37.0,1179.0,0.664,,,0.514,16.3,/players/patrick-ewing-1.html,33.0,,,,,,,,,,,,,,,,
508,1984-85,Georgetown,Big East,37.0,1132.0,0.633,,,0.455,15.9,/players/patrick-ewing-1.html,,,,,,,,,,,,,,,,,
509,1981-82,Georgetown,Big East,37.0,1064.0,0.635,,,0.576,16.9,/players/patrick-ewing-1.html,36.0,,,,,,,,,,,,,,,,
510,1982-83,Georgetown,Big East,32.0,1024.0,0.591,,,0.602,14.5,/players/patrick-ewing-1.html,32.0,,,,,,,,,,,,,,,,
511,1983-84,Georgetown,Big East,37.0,1179.0,0.664,,,0.514,16.3,/players/patrick-ewing-1.html,33.0,,,,,,,,,,,,,,,,
512,1984-85,Georgetown,Big East,37.0,1132.0,0.633,,,0.455,15.9,/players/patrick-ewing-1.html,,,,,,,,,,,,,,,,,
513,2008-09,Vanderbilt,SEC,29.0,360.0,0.544,0.547,0.0,0.733,29.8,/players/festus-ezeli-1.html,6.0,0.5,0.7,1.2,0.131,,,,,11.9,0.6,,4.8,20.3,,,
514,2009-10,Vanderbilt,SEC,32.0,406.0,0.508,0.544,0.0,0.656,22.4,/players/festus-ezeli-1.html,5.0,0.0,0.8,0.8,0.078,13.0,115.0,9.0,18.2,14.0,1.4,0.8,10.2,18.5,,,
515,2010-11,Vanderbilt,SEC,34.0,799.0,0.615,0.588,0.0,0.84,14.3,/players/festus-ezeli-1.html,34.0,2.9,1.6,4.5,0.223,29.3,411.0,14.6,15.6,15.1,1.8,1.5,10.7,26.8,4.0,3.1,7.1
516,2011-12,Vanderbilt,SEC,26.0,603.0,0.567,0.539,0.0,0.842,20.1,/players/festus-ezeli-1.html,22.0,1.1,1.0,2.1,0.14,21.0,254.0,13.0,19.2,16.1,2.9,1.1,9.0,25.2,0.4,3.3,3.7
517,2007-08,Morehead State,OVC,30.0,605.0,0.529,0.516,0.012,0.344,13.9,/players/kenneth-faried-1.html,20.0,1.0,1.5,2.5,0.165,,,,,,,,,,,,
518,2008-09,Morehead State,OVC,36.0,1083.0,0.569,0.559,0.014,0.542,15.4,/players/kenneth-faried-1.html,36.0,2.7,4.2,6.8,0.252,,,,,,,,,,,,
519,2009-10,Morehead State,OVC,35.0,1060.0,0.579,0.565,0.01,0.597,14.2,/players/kenneth-faried-1.html,32.0,3.5,3.2,6.7,0.251,32.1,537.0,16.2,36.8,26.0,4.3,3.2,8.1,28.0,,,
520,2010-11,Morehead State,OVC,35.0,1216.0,0.619,0.623,0.0,0.644,15.8,/players/kenneth-faried-1.html,34.0,4.7,3.6,8.3,0.272,34.7,588.0,20.0,31.4,25.6,7.4,3.4,8.8,24.5,6.2,2.3,8.5
521,2004-05,UCLA,Pac-10,29.0,997.0,0.537,0.469,0.349,0.466,24.1,/players/jordan-farmar-1.html,29.0,1.5,1.0,2.6,0.103,,,,,5.9,29.7,,0.2,22.9,,,
522,2005-06,UCLA,Pac-10,37.0,1125.0,0.518,0.485,0.45,0.302,21.9,/players/jordan-farmar-1.html,37.0,1.7,2.2,3.9,0.139,,,,,5.4,37.6,,0.6,29.4,,,
523,2009-10,Georgia Tech,ACC,36.0,989.0,0.621,0.611,0.003,0.488,20.0,/players/derrick-favors-1.html,35.0,2.3,2.5,4.8,0.195,,420.0,12.6,19.9,16.5,7.9,1.8,7.9,21.8,,,
524,2002-03,UNC,ACC,35.0,1240.0,0.519,0.489,0.509,0.301,23.1,/players/raymond-felton-1.html,35.0,1.5,1.5,3.0,0.096,,,,,6.4,36.8,,0.5,22.1,,,
525,2003-04,UNC,ACC,30.0,1039.0,0.543,0.485,0.416,0.39,24.2,/players/raymond-felton-1.html,30.0,1.4,1.8,3.2,0.124,,,,,6.2,33.8,,0.5,18.2,,,
526,2004-05,UNC,ACC,36.0,1142.0,0.589,0.561,0.482,0.406,24.7,/players/raymond-felton-1.html,35.0,2.7,2.5,5.1,0.179,,,,,7.4,34.6,,0.6,20.4,,,
527,2012-13,Indiana,Big Ten,36.0,1012.0,0.511,0.454,0.336,0.372,22.0,/players/kevin-ferrell-1.html,36.0,1.7,1.6,3.2,0.127,13.0,322.0,1.5,10.0,6.0,25.7,1.6,0.6,17.0,1.8,2.5,4.3
528,2013-14,Indiana,Big Ten,32.0,1083.0,0.573,0.521,0.538,0.374,14.8,/players/kevin-ferrell-1.html,32.0,3.1,1.5,4.6,0.17,18.9,533.0,1.0,8.7,5.0,25.6,1.3,0.1,25.8,5.6,1.1,6.7
529,2014-15,Indiana,Big Ten,34.0,1186.0,0.586,0.539,0.478,0.313,12.1,/players/kevin-ferrell-1.html,34.0,4.8,0.4,5.3,0.177,21.7,571.0,2.1,8.6,5.4,26.7,1.2,0.1,23.0,7.1,-0.5,6.6
530,2015-16,Indiana,Big Ten,35.0,1215.0,0.6,0.55,0.439,0.383,14.8,/players/kevin-ferrell-1.html,35.0,5.1,1.4,6.5,0.213,22.9,649.0,3.5,9.3,6.6,28.4,1.8,0.1,24.2,6.8,0.7,7.6
531,1985-86,Duke,ACC,40.0,912.0,0.494,,,0.434,22.4,/players/danny-ferry-1.html,21.0,,,,,,,,,14.7,9.7,,0.7,15.4,,,
532,1986-87,Duke,ACC,33.0,1094.0,0.53,0.482,0.164,0.285,20.5,/players/danny-ferry-1.html,33.0,,,,,,,,,14.5,23.7,,1.4,23.5,,,
533,1987-88,Duke,ACC,35.0,1138.0,0.559,0.513,0.21,0.314,14.4,/players/danny-ferry-1.html,35.0,,,,,,,,,13.4,22.5,,1.8,27.5,,,
534,1988-89,Duke,ACC,35.0,1163.0,0.593,0.561,0.184,0.336,14.7,/players/danny-ferry-1.html,35.0,,,,,,,,,12.7,26.0,,1.4,29.6,,,
535,2006-07,Stanford,Pac-10,30.0,420.0,0.463,0.444,0.532,0.185,15.1,/players/landry-fields-1.html,0.0,0.0,0.5,0.5,0.047,,,,,10.1,10.3,,0.7,19.2,,,
536,2007-08,Stanford,Pac-10,33.0,415.0,0.471,0.449,0.488,0.252,16.0,/players/landry-fields-1.html,0.0,0.0,1.1,1.1,0.106,,,,,9.3,15.7,,1.2,21.1,,,
537,2008-09,Stanford,Pac-10,34.0,1045.0,0.569,0.548,0.271,0.374,14.3,/players/landry-fields-1.html,33.0,2.2,2.0,4.2,0.161,,,,,13.4,12.6,,1.4,21.6,,,
538,2009-10,Stanford,Pac-10,32.0,1161.0,0.56,0.519,0.17,0.508,11.7,/players/landry-fields-1.html,32.0,4.2,1.8,6.0,0.206,,673.0,7.9,20.6,14.1,19.5,2.6,2.3,31.5,,,
539,1991-92,Wisconsin,Big Ten,31.0,920.0,0.548,0.498,0.251,0.446,20.0,/players/michael-finley-1.html,28.0,,,,,,,,,,,,,,,,
540,1992-93,Wisconsin,Big Ten,28.0,979.0,0.567,0.532,0.362,0.301,12.2,/players/michael-finley-1.html,28.0,,,,,,,,,,,,,,,,
541,1993-94,Wisconsin,Big Ten,29.0,1046.0,0.578,0.54,0.408,0.314,12.8,/players/michael-finley-1.html,29.0,,,,,,,,,,,,,,,,
542,1994-95,Wisconsin,Big Ten,27.0,1000.0,0.498,0.44,0.434,0.385,12.6,/players/michael-finley-1.html,27.0,,,,,,,,,,,,,,,,
543,1992-93,Little Rock,Sun Belt,27.0,749.0,0.534,0.446,0.225,0.667,21.6,/players/derek-fisher-1.html,22.0,,,,,,,,,,,,,,,,
544,1993-94,Little Rock,Sun Belt,28.0,888.0,0.552,0.498,0.259,0.439,21.9,/players/derek-fisher-1.html,28.0,,,,,,,,,,,,,,,,
545,1994-95,Little Rock,Sun Belt,27.0,938.0,0.512,0.457,0.296,0.471,13.0,/players/derek-fisher-1.html,24.0,,,,,,,,,,,,,,,,
546,1995-96,Little Rock,Sun Belt,30.0,1080.0,0.554,0.49,0.417,0.542,17.1,/players/derek-fisher-1.html,30.0,2.1,2.1,4.2,0.155,,,,,,,,,,,,
547,1997-98,Iowa State,Big 12,30.0,816.0,0.505,0.474,0.005,0.449,15.3,/players/marcus-fizer-1.html,25.0,1.1,1.1,2.3,0.111,,,,,,,,,,,,
548,1998-99,Iowa State,Big 12,30.0,961.0,0.517,0.457,0.066,0.493,11.5,/players/marcus-fizer-1.html,29.0,1.9,2.6,4.5,0.188,,,,,,,,,,,,
549,1999-00,Iowa State,Big 12,37.0,1243.0,0.625,0.595,0.075,0.425,10.2,/players/marcus-fizer-1.html,37.0,6.2,3.4,9.6,0.308,,,,,,,,,,,,
550,2007-08,Syracuse,Big East,35.0,1243.0,0.567,0.526,0.387,0.341,16.4,/players/jonny-flynn-1.html,35.0,2.6,1.2,3.7,0.12,,,,,4.1,26.8,,0.3,21.5,,,
551,2008-09,Syracuse,Big East,38.0,1418.0,0.567,0.507,0.298,0.481,18.1,/players/jonny-flynn-1.html,38.0,3.3,1.5,4.9,0.137,,,,,,,,,,,,
552,2012-13,Cleveland State,Horizon,32.0,904.0,0.569,0.53,0.5,0.293,12.9,/players/bryn-forbes-1.html,18.0,2.1,0.3,2.4,0.108,17.9,358.0,3.2,14.2,8.1,10.0,1.7,0.1,23.9,3.2,-1.9,1.3
553,2013-14,Cleveland State,Horizon,32.0,1102.0,0.596,0.548,0.538,0.372,10.7,/players/bryn-forbes-1.html,32.0,3.1,1.2,4.3,0.155,18.0,443.0,2.7,8.2,5.5,10.1,1.4,0.1,22.6,3.0,-0.6,2.4
554,2014-15,Michigan State,Big Ten,39.0,1022.0,0.613,0.589,0.667,0.211,10.3,/players/bryn-forbes-1.html,24.0,2.1,1.1,3.1,0.123,13.5,273.0,1.0,5.4,3.3,7.1,1.4,0.6,16.0,3.0,2.2,5.2
555,2015-16,Michigan State,Big Ten,35.0,982.0,0.667,0.644,0.679,0.219,7.3,/players/bryn-forbes-1.html,34.0,3.6,1.3,4.9,0.201,20.3,394.0,1.5,6.5,4.2,9.7,0.9,0.1,21.1,7.7,1.1,8.8
556,2001-02,Texas,Big 12,33.0,1068.0,0.492,0.421,0.111,0.463,26.5,/players/tj-ford-1.html,33.0,0.8,2.3,3.1,0.115,,,,,6.4,44.6,,0.3,21.7,,,
557,2002-03,Texas,Big 12,33.0,1110.0,0.506,0.423,0.171,0.489,17.9,/players/tj-ford-1.html,33.0,1.3,3.0,4.3,0.155,,,,,,,,,,,,
558,1986-87,UCLA,Pac-10,31.0,441.0,0.503,0.5,0.0,0.295,19.9,/players/greg-foster-1.html,0.0,,,,,,,,,,,,,,,,
559,1987-88,UCLA,Pac-10,11.0,292.0,0.513,0.527,0.0,0.5,20.8,/players/greg-foster-1.html,11.0,,,,,,,,,,,,,,,,
560,1988-89,UTEP,WAC,26.0,728.0,0.51,0.481,0.004,0.342,17.0,/players/greg-foster-1.html,24.0,,,,,,,,,,,,,,,,
561,1989-90,UTEP,WAC,32.0,837.0,0.512,0.462,0.007,0.313,14.5,/players/greg-foster-1.html,30.0,,,,,,,,,,,,,,,,
562,1994-95,California,Pac-10,27.0,699.0,0.523,0.485,0.204,0.535,14.6,/players/tremaine-fowlkes-1.html,9.0,,,,,,,,,,,,,,,,
563,1995-96,California,Pac-10,13.0,351.0,0.505,0.447,0.325,0.553,15.3,/players/tremaine-fowlkes-1.html,7.0,0.4,0.5,0.9,0.102,,,,,,,,,,,,
564,1997-98,Fresno State,WAC,32.0,906.0,0.536,0.5,0.113,0.561,,/players/tremaine-fowlkes-1.html,,1.5,2.3,3.8,0.166,,,,,,,,,,,,
565,1987-88,UNC,ACC,34.0,371.0,0.628,0.644,0.096,0.319,27.5,/players/rick-fox-1.html,3.0,,,,,,,,,,,,,,,,
566,1988-89,UNC,ACC,37.0,829.0,0.64,0.606,0.102,0.371,20.9,/players/rick-fox-1.html,17.0,,,,,,,,,,,,,,,,
567,1989-90,UNC,ACC,34.0,981.0,0.63,0.612,0.411,0.262,19.8,/players/rick-fox-1.html,30.0,,,,,,,,,,,,,,,,
568,1990-91,UNC,ACC,35.0,999.0,0.567,0.526,0.431,0.303,16.4,/players/rick-fox-1.html,32.0,,,,,,,,,,,,,,,,
