SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,URL,3P%
1990-91,22,POR,NBA,PF,5,0,2.6,0.4,1.2,0.333,0.0,0.0,0.4,1.2,0.333,0.333,0.0,0.0,0.0,0.2,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.8,/players/a/abdelal01.html,0.0
1991-92,23,POR,NBA,PF,8,0,3.1,0.6,1.3,0.5,0.0,0.0,0.6,1.3,0.5,0.5,0.3,0.5,0.5,0.0,0.5,0.5,0.3,0.0,0.0,0.3,0.5,1.5,/players/a/abdelal01.html,0.0
1992-93,24,BOS,NBA,PF,4,4,17.0,2.8,6.0,0.458,0.0,0.0,2.8,6.0,0.458,0.458,0.0,0.0,0.0,0.5,2.8,3.3,0.3,0.0,0.3,2.3,1.8,5.5,/players/a/abdelal01.html,0.0
1993-94,24,DEN,NBA,PG,12,12,28.3,4.8,12.8,0.37,1.0,3.1,3.8,9.8,0.385,0.409,2.4,2.6,0.935,0.3,1.3,1.5,2.5,0.4,0.1,1.2,2.4,12.9,/players/a/abdulma02.html,0.324
1994-95,25,DEN,NBA,PG,3,2,25.3,4.0,11.0,0.364,0.7,4.0,3.3,7.0,0.476,0.394,4.7,4.7,1.0,0.7,1.0,1.7,1.7,0.7,0.0,2.7,2.7,13.3,/players/a/abdulma02.html,0.167
1998-99,24,SAC,NBA,SG,5,5,19.8,3.0,6.6,0.455,0.0,0.2,3.0,6.4,0.469,0.455,2.6,3.2,0.813,1.2,2.6,3.8,0.8,0.8,0.8,0.6,1.6,8.6,/players/a/abdulta01.html,0.0
2002-03,28,DAL,NBA,SG,8,0,9.9,1.1,3.8,0.3,0.0,0.3,1.1,3.5,0.321,0.3,0.9,1.0,0.875,1.4,1.4,2.8,0.9,0.0,0.0,0.1,0.8,3.1,/players/a/abdulta01.html,0.0
2005-06,29,SAC,NBA,PF,6,0,21.5,3.8,7.2,0.535,0.0,0.5,3.8,6.7,0.575,0.535,1.5,2.5,0.6,1.3,3.5,4.8,1.2,0.3,0.0,2.2,4.5,9.2,/players/a/abdursh01.html,0.0
2016-17,23,OKC,NBA,SG,5,0,16.0,1.6,4.6,0.348,1.0,3.4,0.6,1.2,0.5,0.457,0.6,0.8,0.75,0.4,1.4,1.8,0.8,0.0,0.0,0.0,1.6,4.8,/players/a/abrinal01.html,0.294
2017-18,24,OKC,NBA,SG,6,0,18.3,1.3,3.3,0.4,1.0,2.2,0.3,1.2,0.286,0.55,0.3,0.3,1.0,0.5,2.2,2.7,0.3,0.8,0.3,0.2,1.8,4.0,/players/a/abrinal01.html,0.462
