SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,URL,3P%
2016-17,31,SAS,NBA,PF,16,16,537.0,110.0,240.0,0.458,2.0,14.0,108.0,226.0,0.478,0.463,42.0,55.0,0.764,43.0,76.0,119.0,24.0,10.0,16.0,28.0,41.0,264.0,/players/a/aldrila01.html,0.143
2017-18,32,SAS,NBA,C,5,5,177.0,37.0,80.0,0.463,3.0,5.0,34.0,75.0,0.453,0.481,41.0,42.0,0.976,13.0,33.0,46.0,12.0,3.0,2.0,9.0,9.0,118.0,/players/a/aldrila01.html,0.6
2018-19,33,SAS,NBA,C,7,7,244.0,55.0,121.0,0.455,3.0,11.0,52.0,110.0,0.473,0.467,27.0,33.0,0.818,19.0,48.0,67.0,19.0,5.0,7.0,7.0,21.0,140.0,/players/a/aldrila01.html,0.273
1995-96,22,SAS,NBA,PG,9,0,70.0,10.0,24.0,0.417,1.0,5.0,9.0,19.0,0.474,0.438,5.0,7.0,0.714,4.0,5.0,9.0,9.0,2.0,0.0,6.0,8.0,26.0,/players/a/alexaco01.html,0.2
2002-03,25,NOH,NBA,PG,5,0,39.0,7.0,16.0,0.438,1.0,1.0,6.0,15.0,0.4,0.469,3.0,4.0,0.75,2.0,2.0,4.0,1.0,2.0,0.0,1.0,6.0,18.0,/players/a/alexaco02.html,1.0
2020-21,22,PHO,NBA,SG,1,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,/players/a/alexaty01.html,0.0
1991-92,22,GSW,NBA,C,4,0,24.0,3.0,5.0,0.6,0.0,0.0,3.0,5.0,0.6,0.6,1.0,1.0,1.0,1.0,5.0,6.0,1.0,2.0,0.0,2.0,8.0,7.0,/players/a/alexavi01.html,0.0
2001-02,32,DET,NBA,C,1,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,/players/a/alexavi01.html,0.0
2021-22,23,UTA,NBA,SG,1,0,5.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,/players/a/alexani01.html,0.0
1987-88,23,DAL,NBA,PG,4,0,12.0,3.0,8.0,0.375,0.0,2.0,3.0,6.0,0.5,0.375,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,6.0,/players/a/alforst01.html,0.0
1988-89,24,GSW,NBA,PG,6,0,52.0,9.0,22.0,0.409,4.0,9.0,5.0,13.0,0.385,0.5,3.0,4.0,0.75,2.0,2.0,4.0,5.0,2.0,0.0,1.0,7.0,25.0,/players/a/alforst01.html,0.444
