SEASON,AGE,TEAM,LEAGUE,POS,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,URL
2002-03,25,NOH,NBA,PG,5,39.0,14.4,0.507,0.063,0.25,6.3,6.3,6.3,4.9,2.8,0.0,5.3,22.4,0.1,0.0,0.1,0.097,-1.5,0.3,-1.2,0.0,/players/a/alexaco02.html
2020-21,22,PHO,NBA,SG,1,1.0,79.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.7,0.0,0.0,0.0,1.248,23.7,5.9,29.5,0.0,/players/a/alexaty01.html
1991-92,22,GSW,NBA,C,4,24.0,8.6,0.643,0.0,0.2,4.5,25.6,14.4,5.5,4.0,0.0,26.9,12.7,0.0,0.0,0.0,0.063,-5.4,2.9,-2.5,0.0,/players/a/alexavi01.html
2001-02,32,DET,NBA,C,1,3.0,-8.8,0.0,0.0,0.0,0.0,41.0,19.8,0.0,0.0,0.0,0.0,16.3,0.0,0.0,0.0,-0.288,-10.8,-3.9,-14.7,0.0,/players/a/alexavi01.html
2021-22,23,UTA,NBA,SG,1,5.0,66.3,1.025,0.0,0.5,0.0,23.1,11.6,60.8,10.6,0.0,0.0,22.9,0.1,0.0,0.1,0.807,27.8,22.3,50.1,0.1,/players/a/alexani01.html
1987-88,23,DAL,NBA,PG,4,12.0,10.7,0.375,0.25,0.0,9.3,9.3,9.3,25.9,0.0,0.0,11.1,31.7,0.0,0.0,0.0,-0.108,-1.2,-5.8,-6.9,0.0,/players/a/alforst01.html
1988-89,24,GSW,NBA,PG,6,52.0,13.8,0.526,0.409,0.182,3.9,3.7,3.8,13.4,1.8,0.0,4.0,19.0,0.1,0.0,0.1,0.093,1.4,-0.2,1.2,0.0,/players/a/alforst01.html
1989-90,25,DAL,NBA,PG,3,42.0,17.7,0.569,0.333,0.278,2.8,5.0,3.9,31.3,1.2,0.0,12.9,23.9,0.1,0.0,0.1,0.11,4.2,-0.5,3.6,0.1,/players/a/alforst01.html
2018-19,23,UTA,NBA,SG,2,14.0,10.5,0.446,0.429,1.0,0.0,7.8,3.8,0.0,0.0,0.0,0.0,30.6,0.0,0.0,0.0,0.003,-1.6,-3.5,-5.1,0.0,/players/a/allengr01.html
2020-21,25,MEM,NBA,SG,5,116.0,5.3,0.478,0.636,0.03,2.6,10.4,6.2,1.1,0.8,0.9,2.9,12.5,0.0,-0.1,-0.1,-0.035,-3.7,-2.1,-5.7,-0.1,/players/a/allengr01.html
2021-22,26,MIL,NBA,SG,12,305.0,10.2,0.576,0.585,0.134,1.7,9.7,5.9,7.2,1.3,1.3,9.4,13.6,0.2,0.5,0.7,0.116,-1.0,1.2,0.2,0.2,/players/a/allengr01.html
2018-19,20,BRK,NBA,C,5,110.0,22.5,0.674,0.0,0.625,13.0,19.3,15.9,15.9,1.3,2.0,16.4,18.0,0.4,0.0,0.4,0.182,2.0,1.4,3.4,0.2,/players/a/allenja01.html
2019-20,21,BRK,NBA,C,4,132.0,17.1,0.66,0.0,0.667,12.1,34.5,22.5,10.5,0.7,5.1,26.2,13.1,0.2,0.1,0.2,0.078,-0.3,0.3,-0.1,0.1,/players/a/allenja01.html
2011-12,22,PHI,NBA,PF,12,236.0,17.1,0.566,0.0,0.197,9.5,19.1,14.1,2.4,2.3,3.5,7.0,14.4,0.4,0.5,0.9,0.191,0.0,2.6,2.6,0.3,/players/a/allenla01.html
2013-14,24,IND,NBA,PF,4,15.0,14.3,0.5,0.0,0.0,8.2,31.5,20.1,11.8,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.144,0.8,-1.0,-0.2,0.0,/players/a/allenla01.html
2015-16,26,IND,NBA,PF,6,51.0,7.1,0.3,0.0,0.0,9.7,21.0,15.7,6.2,1.1,1.6,9.1,10.4,0.0,0.1,0.0,0.031,-2.1,-0.4,-2.4,0.0,/players/a/allenla01.html
2016-17,27,IND,NBA,PF,3,11.0,-2.6,0.0,0.0,0.0,0.0,21.7,10.7,0.0,0.0,0.0,100.0,4.0,0.0,0.0,0.0,-0.145,-6.8,-1.9,-8.8,0.0,/players/a/allenla01.html
2003-04,25,MIA,NBA,PF,10,138.0,16.1,0.472,0.0,0.184,10.0,15.0,12.5,6.1,0.8,5.6,7.0,19.8,0.2,0.2,0.4,0.131,-0.8,1.0,0.2,0.1,/players/a/allenma01.html
2005-06,27,CHI,NBA,PF,6,116.0,6.1,0.46,0.0,0.033,5.1,12.9,9.0,10.3,0.9,4.5,24.7,15.9,-0.2,0.1,-0.1,-0.031,-4.6,1.9,-2.7,0.0,/players/a/allenma01.html
2006-07,28,CHI,NBA,PF,5,34.0,-5.7,0.167,0.0,0.0,13.9,10.2,12.0,4.8,1.6,2.4,20.0,20.4,-0.2,0.0,-0.2,-0.229,-12.1,-1.4,-13.5,-0.1,/players/a/allenma01.html
2007-08,29,DAL,NBA,PF,3,18.0,-6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,-0.108,-9.2,-2.8,-12.1,0.0,/players/a/allenma01.html
2009-10,31,DEN,NBA,PF,4,11.0,6.6,0.0,0.0,0.0,21.8,11.4,16.7,0.0,4.5,0.0,0.0,4.0,0.0,0.0,0.0,0.047,-2.4,0.5,-1.9,0.0,/players/a/allenma01.html
2010-11,32,ORL,NBA,PF,1,7.0,-5.7,0.266,0.0,2.0,0.0,17.2,8.5,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,-0.047,-12.7,0.0,-12.7,0.0,/players/a/allenma01.html
1998-99,23,MIL,NBA,SG,3,120.0,23.7,0.635,0.404,0.277,8.1,14.0,11.1,22.7,1.4,0.8,17.3,25.3,0.4,-0.1,0.3,0.11,6.8,-0.8,6.0,0.2,/players/a/allenra02.html
1999-00,24,MIL,NBA,SG,5,186.0,22.7,0.552,0.289,0.244,6.5,13.3,10.1,12.2,2.3,0.0,8.3,26.9,0.5,0.2,0.7,0.183,6.0,-0.2,5.8,0.4,/players/a/allenra02.html
2000-01,25,MIL,NBA,SG,18,768.0,23.7,0.613,0.36,0.26,2.8,7.4,5.2,27.1,1.7,0.9,10.4,24.9,3.2,0.4,3.6,0.223,8.2,0.1,8.3,2.0,/players/a/allenra02.html
2004-05,29,SEA,NBA,SG,11,436.0,23.5,0.599,0.381,0.293,3.5,9.7,6.6,19.5,1.7,0.7,12.3,29.3,1.5,0.1,1.6,0.178,7.5,-0.4,7.1,1.0,/players/a/allenra02.html
2007-08,32,BOS,NBA,SG,26,987.0,14.9,0.576,0.447,0.296,3.2,9.2,6.2,12.7,1.4,0.7,9.8,19.0,2.0,1.1,3.1,0.152,2.2,0.8,3.0,1.3,/players/a/allenra02.html
2008-09,33,BOS,NBA,SG,14,565.0,14.2,0.553,0.485,0.282,2.7,9.0,5.8,11.0,1.4,0.7,9.7,21.0,0.7,0.5,1.2,0.104,1.8,-0.4,1.4,0.4,/players/a/allenra02.html
2009-10,34,BOS,NBA,SG,24,925.0,13.1,0.57,0.477,0.263,1.6,8.7,5.3,12.0,1.3,0.3,9.6,19.4,1.1,1.3,2.4,0.126,1.5,0.4,1.9,0.9,/players/a/allenra02.html
2010-11,35,BOS,NBA,SG,9,361.0,19.6,0.708,0.514,0.229,1.8,9.3,5.8,10.5,1.6,0.2,7.7,17.2,1.3,0.3,1.7,0.225,4.9,2.3,7.1,0.8,/players/a/allenra02.html
2011-12,36,BOS,NBA,SG,18,616.0,10.0,0.514,0.551,0.269,1.6,12.3,7.1,5.0,1.5,0.3,8.3,16.2,0.2,0.8,1.0,0.077,-1.1,0.4,-0.7,0.2,/players/a/allenra02.html
2012-13,37,MIA,NBA,SG,23,573.0,14.4,0.598,0.558,0.314,2.9,10.8,6.9,8.3,1.2,0.4,12.1,18.8,1.1,0.5,1.5,0.129,1.5,-0.8,0.7,0.4,/players/a/allenra02.html
2013-14,38,MIA,NBA,SG,20,527.0,12.8,0.581,0.594,0.259,3.4,13.2,8.5,9.7,1.5,0.7,13.1,17.8,0.6,0.3,0.9,0.08,1.1,-0.9,0.2,0.3,/players/a/allenra02.html
2004-05,23,BOS,NBA,SG,7,90.0,4.8,0.451,0.0,0.389,5.5,10.9,8.2,3.8,1.9,2.0,19.2,14.2,-0.1,0.1,0.0,0.013,-6.3,-0.3,-6.6,-0.1,/players/a/allento01.html
2007-08,26,BOS,NBA,SG,15,65.0,10.8,0.549,0.063,0.313,2.0,3.8,2.9,8.2,1.7,0.0,5.2,14.2,0.1,0.1,0.1,0.1,-2.2,1.0,-1.2,0.0,/players/a/allento01.html
2008-09,27,BOS,NBA,SG,10,60.0,7.9,0.533,0.0,0.125,1.9,16.2,8.9,7.4,1.8,0.0,10.6,7.3,0.0,0.1,0.1,0.077,-3.7,1.6,-2.1,0.0,/players/a/allento01.html
2009-10,28,BOS,NBA,SG,24,391.0,11.2,0.536,0.051,0.367,4.2,8.5,6.4,7.4,3.4,3.1,16.8,16.7,-0.1,0.9,0.8,0.095,-2.7,3.5,0.8,0.3,/players/a/allento01.html
2010-11,29,MEM,NBA,SG,13,350.0,10.7,0.479,0.069,0.406,4.8,7.7,6.2,9.3,3.8,1.2,16.8,18.6,-0.2,0.4,0.2,0.03,-3.1,2.2,-0.9,0.1,/players/a/allento01.html
2011-12,30,MEM,NBA,SG,7,170.0,9.9,0.457,0.111,0.378,5.6,10.4,7.9,5.2,2.9,3.6,16.0,17.0,-0.1,0.3,0.2,0.056,-2.8,2.7,-0.1,0.1,/players/a/allento01.html
2012-13,31,MEM,NBA,SG,15,422.0,17.7,0.512,0.064,0.464,9.9,16.2,12.9,11.3,3.9,1.0,11.2,18.7,0.6,0.7,1.3,0.148,0.4,3.9,4.2,0.7,/players/a/allento01.html
2013-14,32,MEM,NBA,SG,7,230.0,15.6,0.529,0.097,0.292,10.7,15.8,13.1,7.6,2.8,0.4,12.9,18.6,0.2,0.3,0.5,0.097,-0.1,2.2,2.1,0.2,/players/a/allento01.html
2014-15,33,MEM,NBA,SG,10,279.0,14.2,0.53,0.123,0.211,5.4,15.3,10.3,8.3,4.5,3.6,17.3,12.3,0.1,0.6,0.6,0.111,-1.2,5.1,3.9,0.4,/players/a/allento01.html
2015-16,34,MEM,NBA,SG,4,94.0,6.7,0.387,0.212,0.394,6.4,7.2,6.8,5.7,2.9,1.9,13.4,21.9,-0.2,0.0,-0.2,-0.103,-4.1,-0.7,-4.8,-0.1,/players/a/allento01.html
1999-00,23,MIL,NBA,PG,4,16.0,-11.6,0.0,0.333,0.667,0.0,0.0,0.0,7.9,0.0,0.0,20.5,14.1,-0.1,0.0,-0.1,-0.367,-11.3,-6.9,-18.3,-0.1,/players/a/alstora01.html
2000-01,24,MIL,NBA,PG,5,8.0,-14.2,0.0,0.0,0.0,0.0,0.0,0.0,17.2,0.0,0.0,66.7,17.4,-0.1,0.0,-0.1,-0.488,-16.8,-13.2,-30.0,0.0,/players/a/alstora01.html
2003-04,27,MIA,NBA,PG,13,295.0,10.0,0.446,0.571,0.275,1.6,9.7,5.6,13.9,0.9,0.3,8.9,18.2,0.2,0.2,0.4,0.061,-1.5,-0.7,-2.2,0.0,/players/a/alstora01.html
2006-07,30,HOU,NBA,PG,7,309.0,10.7,0.477,0.676,0.176,2.3,15.4,9.0,21.0,2.3,0.7,17.6,15.2,0.0,0.4,0.4,0.063,-2.6,2.6,0.0,0.2,/players/a/alstora01.html
2007-08,31,HOU,NBA,PG,4,126.0,18.0,0.568,0.521,0.104,1.7,3.6,2.7,28.4,1.8,0.0,10.7,21.2,0.3,0.1,0.4,0.142,4.3,1.9,6.2,0.3,/players/a/alstora01.html
2008-09,32,ORL,NBA,PG,23,740.0,11.8,0.471,0.405,0.158,0.5,8.9,4.8,22.4,2.4,0.4,11.8,22.1,-0.2,0.9,0.7,0.043,-1.2,0.9,-0.3,0.3,/players/a/alstora01.html
2021-22,23,NOP,NBA,PG,6,117.0,13.2,0.62,0.485,0.394,1.9,6.5,4.0,11.4,3.1,0.7,15.3,16.8,0.2,0.0,0.2,0.09,-1.8,1.7,-0.1,0.1,/players/a/alvarjo01.html
1995-96,25,CLE,NBA,PF,1,2.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6,0.0,0.0,0.0,-0.609,-21.3,-15.4,-36.7,0.0,/players/a/amaecjo01.html
2000-01,30,ORL,NBA,C,4,29.0,19.4,0.461,0.0,0.5,3.4,7.1,5.3,15.0,5.3,4.8,0.0,14.8,0.1,0.0,0.1,0.122,1.8,5.6,7.4,0.1,/players/a/amaecjo01.html
2002-03,32,UTA,NBA,C,2,16.0,-2.2,0.347,0.0,1.0,0.0,7.8,3.8,0.0,0.0,0.0,0.0,16.1,0.0,0.0,0.0,-0.105,-8.5,-2.3,-10.9,0.0,/players/a/amaecjo01.html
2014-15,24,DAL,NBA,SF,5,150.0,20.4,0.711,0.355,0.613,9.3,15.6,12.3,5.3,3.1,4.3,13.2,12.4,0.5,0.1,0.6,0.199,4.4,3.1,7.5,0.4,/players/a/aminual01.html
2015-16,25,POR,NBA,SF,11,372.0,15.5,0.572,0.547,0.227,6.2,20.4,13.1,8.7,1.1,2.1,13.0,18.6,0.5,0.3,0.8,0.1,2.1,0.5,2.7,0.4,/players/a/aminual01.html
