,SEASON,SCHOOL,CONF,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,COLLEGE_URL,3P%
277,2010-11,Syracuse,Big East,17,0,273,29,92,0.315,18,50,0.36,11,42,15,19,0.789,8,21,29,24,19,3,16,22,84,/players/dion-waiters-1.html,0.262
278,2011-12,Syracuse,Big East,18,0,454,75,172,0.436,57,116,0.491,18,56,41,61,0.672,12,39,51,46,32,7,24,35,209,/players/dion-waiters-1.html,0.321
279,2010-11,UConn,Big East,18,18,700,131,332,0.395,96,226,0.425,35,106,94,124,0.758,23,72,95,81,30,2,33,25,391,/players/kemba-walker-1.html,0.33
280,2017-18,Kentucky,SEC,18,11,496,66,134,0.493,64,121,0.529,2,13,64,103,0.621,32,66,98,24,19,15,31,50,198,/players/pj-washington-1.html,0.154
281,2018-19,Kentucky,SEC,18,18,553,104,197,0.528,83,150,0.553,21,47,61,93,0.656,38,80,118,29,15,17,34,49,290,/players/pj-washington-1.html,0.447
282,2018-19,UNC,ACC,18,18,537,111,246,0.451,59,111,0.532,52,135,51,62,0.823,10,56,66,75,20,10,54,40,325,/players/coby-white-1.html,0.385
283,2013-14,Kansas,Big 12,18,18,588,99,219,0.452,74,151,0.49,25,68,94,123,0.764,49,63,112,32,23,17,44,55,317,/players/andrew-wiggins-1.html,0.368
284,2010-11,Arizona,Pac-10,18,18,556,103,172,0.599,87,143,0.608,16,29,111,159,0.698,48,114,162,19,14,11,51,56,333,/players/derrick-williams-2.html,0.552
285,2019-20,Florida State,ACC,18,0,427,56,132,0.424,46,99,0.465,10,33,40,49,0.816,28,52,80,10,16,23,29,33,162,/players/patrick-williams-2.html,0.303
286,2016-17,Texas A&M,SEC,18,15,505,97,179,0.542,96,167,0.575,1,12,37,72,0.514,64,108,172,25,14,45,37,39,232,/players/robert-williams-3.html,0.083
