,NCAA_CHAMPION,CONSENSUS_AA,NCAA_ALL-REGION,HS_PARADE_AA,COLLEGE_URL
245,0.0,0.0,0.0,1.0,/players/robert-horry-1.html
246,0.0,0.0,0.0,0.0,/players/talen-horton-tucker-1.html
247,0.0,0.0,0.0,0.0,/players/eddie-house-1.html
248,0.0,0.0,0.0,1.0,/players/allan-houston-1.html
249,0.0,1.0,0.0,0.0,/players/josh-howard-1.html
250,0.0,0.0,2.0,1.0,/players/juwan-howard-1.html
251,0.0,0.0,0.0,0.0,/players/kevin-huerter-1.html
252,0.0,0.0,0.0,1.0,/players/larry-hughes-1.html
253,0.0,0.0,0.0,0.0,/players/lindsey-hunter-1.html
254,0.0,0.0,0.0,0.0,/players/nahshon-hyland-1.html
255,0.0,0.0,0.0,1.0,/players/andre-iguodala-1.html
256,0.0,0.0,1.0,1.0,/players/brandon-ingram-1.html
257,0.0,0.0,1.0,1.0,/players/kyrie-irving-1.html
258,0.0,1.0,2.0,1.0,/players/allen-iverson-1.html
259,0.0,1.0,1.0,0.0,/players/bobby-jackson-1.html
260,0.0,0.0,0.0,0.0,/players/jaren-jackson-1.html
261,0.0,0.0,0.0,0.0,/players/jaren-jacksonjr-1.html
262,0.0,0.0,1.0,0.0,/players/josh-jackson-2.html
263,1.0,1.0,1.0,1.0,/players/justin-jackson-4.html
264,0.0,0.0,0.0,0.0,/players/marc-jackson-1.html
265,0.0,1.0,0.0,0.0,/players/mark-jackson-1.html
266,0.0,0.0,0.0,1.0,/players/damion-james-1.html
267,0.0,0.0,0.0,0.0,/players/mike-james-1.html
268,0.0,2.0,2.0,0.0,/players/antawn-jamison-1.html
269,0.0,0.0,1.0,1.0,/players/richard-jefferson-1.html
270,0.0,0.0,0.0,1.0,/players/chris-jent-1.html
271,0.0,0.0,0.0,0.0,/players/avery-johnson-1.html
272,0.0,0.0,0.0,0.0,/players/joe-johnson-1.html
273,0.0,0.0,0.0,0.0,/players/kevin-johnson-1.html
274,1.0,2.0,2.0,1.0,/players/larry-johnson-1.html
275,0.0,0.0,0.0,0.0,/players/linton-johnson-1.html
276,0.0,1.0,0.0,0.0,/players/wes-johnson-1.html
277,0.0,0.0,0.0,0.0,/players/dahntay-jones-1.html
278,0.0,0.0,0.0,0.0,/players/damian-jones-1.html
279,0.0,0.0,0.0,0.0,/players/dominique-jones-1.html
280,0.0,0.0,1.0,0.0,/players/eddie-jones-1.html
281,0.0,0.0,0.0,0.0,/players/herb-jones-3.html
282,0.0,0.0,0.0,0.0,/players/james-jones-1.html
283,0.0,0.0,0.0,1.0,/players/deandre-jordan-1.html
284,0.0,0.0,0.0,1.0,/players/cory-joseph-1.html
285,0.0,0.0,0.0,0.0,/players/chris-kaman-1.html
286,0.0,0.0,0.0,1.0,/players/jason-kapono-1.html
287,1.0,0.0,1.0,0.0,/players/sasha-kaun-1.html
288,0.0,0.0,1.0,0.0,/players/steve-kerr-1.html
289,0.0,1.0,0.0,1.0,/players/jason-kidd-1.html
290,1.0,1.0,1.0,1.0,/players/michael-kidd-gilchrist-1.html
291,0.0,0.0,0.0,0.0,/players/gerard-king-1.html
292,0.0,1.0,1.0,0.0,/players/stacey-king-1.html
293,0.0,2.0,0.0,0.0,/players/kerry-kittles-1.html
294,0.0,0.0,0.0,1.0,/players/joe-kleine-1.html
295,0.0,0.0,1.0,1.0,/players/brandon-knight-1.html
296,0.0,1.0,1.0,0.0,/players/brevin-knight-1.html
297,0.0,0.0,0.0,0.0,/players/travis-knight-1.html
298,0.0,1.0,0.0,0.0,/players/kyle-korver-1.html
299,0.0,0.0,0.0,0.0,/players/kyle-kuzma-1.html
300,0.0,0.0,0.0,0.0,/players/rusty-larue-1.html
301,0.0,0.0,0.0,1.0,/players/zach-lavine-1.html
302,2.0,2.0,4.0,1.0,/players/christian-laettner-1.html
303,0.0,0.0,0.0,0.0,/players/carl-landry-1.html
304,0.0,0.0,0.0,1.0,/players/david-lee-1.html
305,0.0,1.0,0.0,0.0,/players/kawhi-leonard-1.html
306,0.0,0.0,0.0,0.0,/players/reggie-lewis-1.html
307,0.0,0.0,0.0,0.0,/players/damian-lillard-1.html
308,0.0,0.0,0.0,0.0,/players/jeremy-lin-1.html
309,0.0,0.0,0.0,0.0,/players/luc-longley-1.html
310,0.0,0.0,0.0,1.0,/players/kevon-looney-1.html
311,0.0,0.0,1.0,1.0,/players/brook-lopez-1.html
312,0.0,1.0,1.0,1.0,/players/kevin-love-1.html
313,0.0,0.0,0.0,0.0,/players/kyle-lowry-1.html
314,0.0,0.0,0.0,0.0,/players/jordan-loyd-1.html
315,0.0,0.0,0.0,0.0,/players/tyronn-lue-1.html
316,0.0,1.0,0.0,1.0,/players/don-maclean-1.html
317,0.0,1.0,1.0,1.0,/players/mark-macon-1.html
318,0.0,0.0,1.0,0.0,/players/mark-madsen-1.html
319,1.0,0.0,0.0,0.0,/players/jamaal-magloire-1.html
320,0.0,0.0,0.0,0.0,/players/dan-majerle-1.html
321,0.0,0.0,1.0,0.0,/players/karl-malone-1.html
322,0.0,0.0,0.0,0.0,/players/matt-maloney-1.html
323,1.0,3.0,3.0,1.0,/players/danny-manning-1.html
324,0.0,0.0,0.0,1.0,/players/stephon-marbury-1.html
325,0.0,0.0,0.0,0.0,/players/shawn-marion-1.html
326,0.0,0.0,0.0,0.0,/players/lauri-markkanen-1.html
327,0.0,0.0,0.0,0.0,/players/sean-marks-1.html
328,0.0,1.0,0.0,1.0,/players/donyell-marshall-1.html
329,0.0,1.0,0.0,0.0,/players/kenyon-martin-1.html
330,0.0,1.0,2.0,1.0,/players/jamal-mashburn-1.html
331,0.0,0.0,0.0,0.0,/players/anthony-mason-1.html
332,0.0,0.0,0.0,0.0,/players/desmond-mason-1.html
333,0.0,0.0,0.0,0.0,/players/tony-massenburg-1.html
334,0.0,0.0,0.0,0.0,/players/vernon-maxwell-1.html
335,0.0,0.0,0.0,1.0,/players/oj-mayo-1.html
336,0.0,0.0,1.0,0.0,/players/travis-mays-1.html
337,0.0,0.0,0.0,1.0,/players/james-michael-mcadoo-1.html
338,0.0,0.0,0.0,0.0,/players/patrick-mccaw-1.html
339,0.0,0.0,0.0,0.0,/players/cj-mccollum-1.html
340,0.0,0.0,0.0,0.0,/players/jelani-mccoy-1.html
341,0.0,1.0,0.0,0.0,/players/xavier-mcdaniel-1.html
342,0.0,0.0,0.0,1.0,/players/antonio-mcdyess-1.html
343,0.0,0.0,0.0,0.0,/players/javale-mcgee-1.html
344,0.0,0.0,0.0,0.0,/players/derrick-mckey-1.html
345,0.0,0.0,1.0,0.0,/players/aaron-mckie-1.html
346,0.0,0.0,0.0,0.0,/players/nate-mcmillan-1.html
347,0.0,0.0,0.0,0.0,/players/jordan-mcrae-1.html
348,0.0,1.0,0.0,0.0,/players/jodie-meeks-1.html
349,1.0,1.0,1.0,1.0,/players/ron-mercer-1.html
