,SEASON,SCHOOL,CONF,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,COLLEGE_URL,GS
1214,1994-95,Michigan,Big Ten,31.0,31.2,5.2,11.0,0.471,5.1,10.8,0.472,0.1,0.2,0.429,1.9,3.2,0.602,5.1,1.2,0.5,1.1,2.5,2.7,12.4,8.94,/players/maurice-taylor-1.html,29.0
1215,1995-96,Michigan,Big Ten,32.0,33.6,6.1,11.9,0.511,6.0,11.8,0.513,0.0,0.1,0.25,1.8,3.1,0.592,7.0,1.3,0.7,0.8,2.2,2.0,14.0,8.55,/players/maurice-taylor-1.html,32.0
1216,1996-97,Michigan,Big Ten,35.0,31.9,4.9,9.7,0.507,4.9,9.6,0.512,0.0,0.1,0.2,2.4,3.3,0.718,6.2,1.1,0.7,0.9,1.8,2.1,12.3,10.53,/players/maurice-taylor-1.html,33.0
1217,2007-08,Wake Forest,ACC,30.0,24.1,4.5,10.4,0.434,3.4,7.7,0.448,1.1,2.7,0.395,3.8,4.7,0.803,2.7,2.5,1.8,0.5,1.4,3.3,13.9,8.83,/players/jeff-teague-1.html,21.0
1218,2008-09,Wake Forest,ACC,31.0,29.9,5.8,12.0,0.485,4.4,8.7,0.502,1.5,3.3,0.441,5.8,7.1,0.817,3.3,3.5,1.9,0.6,2.0,2.9,18.8,7.36,/players/jeff-teague-1.html,31.0
1219,1995-96,Arizona,Pac-10,31.0,32.3,1.0,1.9,0.542,0.5,1.1,0.515,0.5,0.8,0.577,0.5,0.9,0.593,0.7,1.1,0.6,0.0,2.2,2.4,3.1,8.42,/players/jason-terry-1.html,0.0
1220,1996-97,Arizona,Pac-10,34.0,31.1,3.6,8.2,0.443,2.5,4.7,0.528,1.2,3.6,0.331,2.1,3.0,0.713,2.7,4.4,2.5,0.1,1.8,2.8,10.6,11.04,/players/jason-terry-1.html,18.0
1221,1997-98,Arizona,Pac-10,35.0,32.8,3.5,8.4,0.422,1.8,3.4,0.534,1.7,5.0,0.347,1.8,2.1,0.827,2.4,4.3,1.7,0.2,4.2,2.9,10.6,8.36,/players/jason-terry-1.html,0.0
1222,1998-99,Arizona,Pac-10,29.0,32.2,7.2,16.3,0.443,4.6,9.7,0.473,2.6,6.6,0.398,4.9,5.8,0.839,3.3,5.5,2.8,0.2,3.8,3.0,21.9,8.35,/players/jason-terry-1.html,29.0
1223,2008-09,Washington,Pac-10,35.0,21.1,5.1,12.3,0.418,4.0,8.5,0.475,1.1,3.8,0.291,4.1,5.9,0.686,3.0,2.6,1.1,0.1,1.4,2.9,15.5,8.19,/players/isaiah-thomas-1.html,34.0
1224,2009-10,Washington,Pac-10,35.0,22.5,5.3,12.8,0.415,3.5,7.1,0.486,1.9,5.7,0.327,4.5,6.1,0.732,3.9,3.2,1.1,0.1,1.2,2.2,16.9,7.49,/players/isaiah-thomas-1.html,35.0
1225,2010-11,Washington,Pac-10,35.0,29.4,5.4,12.1,0.445,3.7,7.1,0.512,1.7,4.9,0.349,4.3,6.0,0.719,3.5,6.1,1.3,0.1,2.2,2.4,16.8,7.74,/players/isaiah-thomas-1.html,35.0
1226,1996-97,Villanova,Big East,32.0,34.5,5.8,13.0,0.45,4.4,8.6,0.507,1.5,4.4,0.336,3.8,4.8,0.796,6.0,2.1,1.8,1.0,3.1,2.8,16.9,9.44,/players/tim-thomas-1.html,31.0
1227,2005-06,LSU,SEC,32.0,19.5,4.8,7.8,0.608,4.7,7.8,0.606,0.0,0.0,1.0,2.8,4.3,0.657,9.2,1.3,1.0,3.1,1.7,2.9,12.3,8.77,/players/tyrus-thomas-1.html,21.0
1228,2008-09,Washington State,Pac-10,33.0,24.7,4.8,11.5,0.421,2.8,6.5,0.427,2.1,5.0,0.412,0.8,0.9,0.903,4.2,1.9,0.9,0.6,1.9,3.1,12.5,7.5,/players/klay-thompson-1.html,33.0
1229,2009-10,Washington State,Pac-10,31.0,26.9,6.5,15.6,0.412,4.0,8.9,0.449,2.5,6.7,0.364,4.3,5.4,0.801,5.1,2.3,1.4,0.7,2.4,2.7,19.6,4.65,/players/klay-thompson-1.html,30.0
1230,2010-11,Washington State,Pac-10,34.0,31.2,7.1,16.2,0.436,4.2,9.0,0.466,2.9,7.2,0.398,4.6,5.4,0.838,5.2,3.7,1.6,0.9,2.3,2.7,21.6,6.81,/players/klay-thompson-1.html,33.0
1231,2010-11,Texas,Big 12,36.0,22.2,4.8,8.8,0.546,4.8,8.8,0.546,0.0,0.0,0.0,3.5,7.3,0.487,7.8,1.3,0.9,2.4,1.4,2.4,13.1,7.96,/players/tristan-thompson-2.html,34.0
1232,2003-04,Florida State,ACC,30.0,24.5,1.0,1.9,0.517,0.9,1.7,0.529,0.1,0.2,0.429,0.7,1.4,0.5,1.8,0.2,0.2,0.2,1.5,1.8,2.8,8.31,/players/al-thornton-1.html,0.0
1233,2004-05,Florida State,ACC,29.0,33.8,3.5,6.4,0.543,3.3,5.9,0.564,0.1,0.5,0.286,2.0,3.7,0.538,4.4,0.7,0.5,0.6,2.6,1.5,9.1,8.99,/players/al-thornton-1.html,4.0
1234,2005-06,Florida State,ACC,30.0,29.6,5.7,11.0,0.518,5.0,9.6,0.524,0.7,1.4,0.476,4.1,5.5,0.744,6.9,1.2,1.0,0.3,2.2,2.4,16.1,4.86,/players/al-thornton-1.html,30.0
1235,2006-07,Florida State,ACC,35.0,30.1,7.0,13.1,0.53,5.9,10.8,0.549,1.0,2.3,0.444,4.7,6.0,0.79,7.2,0.7,1.5,1.1,2.3,2.1,19.7,8.63,/players/al-thornton-1.html,35.0
1236,2007-08,LSU,SEC,31.0,30.9,6.8,15.7,0.436,3.9,8.0,0.494,2.9,7.7,0.377,3.0,3.7,0.817,5.6,1.4,1.4,0.3,2.3,2.0,19.6,5.66,/players/marcus-thornton-1.html,30.0
1237,2008-09,LSU,SEC,35.0,31.5,7.3,15.5,0.472,5.1,9.7,0.522,2.2,5.7,0.388,4.3,5.7,0.745,5.5,2.1,1.6,0.4,2.5,1.9,21.1,3.27,/players/marcus-thornton-1.html,35.0
1238,2015-16,Washington,Pac-12,34.0,16.2,2.1,5.3,0.397,1.1,2.5,0.43,1.0,2.7,0.366,1.0,1.4,0.714,3.2,1.6,1.1,0.9,1.2,1.1,6.2,8.12,/players/matisse-thybulle-1.html,34.0
1239,2016-17,Washington,Pac-12,31.0,31.7,3.8,8.4,0.448,2.1,4.2,0.492,1.7,4.2,0.405,1.2,1.4,0.841,3.1,1.8,2.1,0.7,1.3,1.9,10.5,6.82,/players/matisse-thybulle-1.html,31.0
1240,2017-18,Washington,Pac-12,34.0,31.5,4.1,9.3,0.445,2.4,4.6,0.525,1.7,4.7,0.365,1.2,1.6,0.714,2.9,2.6,3.0,1.4,1.7,1.4,11.2,6.06,/players/matisse-thybulle-1.html,33.0
1241,2018-19,Washington,Pac-12,36.0,29.0,3.1,7.5,0.415,1.8,3.3,0.555,1.3,4.2,0.305,1.6,1.9,0.851,3.1,2.1,3.5,2.3,1.7,1.7,9.1,7.01,/players/matisse-thybulle-1.html,36.0
1242,1999-00,Iowa State,Big 12,37.0,13.5,3.9,10.4,0.378,3.5,8.7,0.404,0.4,1.7,0.242,2.8,4.1,0.675,5.1,6.6,2.6,1.0,0.5,2.1,11.0,7.14,/players/jamaal-tinsley-1.html,37.0
1243,2000-01,Iowa State,Big 12,31.0,28.5,4.5,11.2,0.399,3.3,8.1,0.406,1.2,3.1,0.381,4.1,6.0,0.692,3.8,6.0,2.5,0.6,1.2,2.9,14.3,4.87,/players/jamaal-tinsley-1.html,31.0
