,URL,NAME,ACTIVE_FROM,ACTIVE_TO,POSITION,COLLEGE,DRAFT_YEAR,DRAFT_PICK,DRAFT_TEAM,BIRTH_DATE(year),HEIGHT(cm),WEIGHT(kg)
49,/players/a/allento01.html,Tony Allen,2005,2018,G-F,"Butler County Community College, Oklahoma State",2004.0,25.0,BOS,1982,193.04,96.62
50,/players/a/allrela01.html,Lance Allred,2008,2008,C,"Utah, Weber State",Undrafted,Undrafted,Undrafted,1981,210.82,113.4
51,/players/a/almonmo01.html,Morris Almond,2008,2012,G,Rice University,2007.0,25.0,UTA,1985,198.12,102.06
52,/players/a/alstode01.html,Derrick Alston,1995,1997,F,Duquesne,1994.0,33.0,PHI,1972,210.82,102.06
53,/players/a/alstora01.html,Rafer Alston,2000,2010,G,Fresno State,1998.0,39.0,MIL,1976,187.96,77.56
54,/players/a/alumape01.html,Peter Aluma,1999,1999,C,Liberty,Undrafted,Undrafted,Undrafted,1973,208.28,117.93
55,/players/a/alvarjo01.html,Jose Alvarado,2022,2022,G,Georgia Tech,Undrafted,Undrafted,Undrafted,1998,182.88,81.19
56,/players/a/amaecjo01.html,John Amaechi,1996,2003,C-F,"Vanderbilt, Penn State",Undrafted,Undrafted,Undrafted,1970,208.28,122.47
57,/players/a/amayaas01.html,Ashraf Amaya,1996,1997,F,Southern Illinois,Undrafted,Undrafted,Undrafted,1971,203.2,104.33
58,/players/a/aminual01.html,Al-Farouq Aminu,2011,2021,F,Wake Forest,2010.0,8.0,LAC,1990,203.2,99.79
59,/players/a/amundlo01.html,Lou Amundson,2007,2016,F-C,UNLV,Undrafted,Undrafted,Undrafted,1982,205.74,99.79
60,/players/a/anderch01.html,Chris Andersen,2002,2017,C-F,Blinn College,Undrafted,Undrafted,Undrafted,1978,208.28,111.13
61,/players/a/anderda03.html,David Andersen,2010,2011,C,No College,2002.0,37.0,ATL,1980,210.82,111.13
62,/players/a/anderal01.html,Alan Anderson,2006,2017,G-F,Michigan State,Undrafted,Undrafted,Undrafted,1982,198.12,99.79
63,/players/a/anderan02.html,Antonio Anderson,2010,2010,G,Memphis,Undrafted,Undrafted,Undrafted,1985,198.12,97.52
64,/players/a/anderde01.html,Derek Anderson,1998,2008,G,"Ohio State, Kentucky",1997.0,13.0,CLE,1974,195.57999999999998,88.0
65,/players/a/anderer01.html,Eric Anderson,1993,1994,F,Indiana,1975.0,167.0,CLE,1970,205.74,99.79
66,/players/a/andergr01.html,Greg Anderson,1988,1998,F-C,Houston,1987.0,23.0,SAS,1964,208.28,104.33
67,/players/a/andergr01.html,Greg Anderson,1988,1998,F-C,Houston,1986.0,131.0,DAL,1964,208.28,104.33
68,/players/a/anderja01.html,James Anderson,2011,2016,G-F,Oklahoma State,2010.0,20.0,SAS,1989,198.12,96.62
69,/players/a/anderja01.html,James Anderson,2011,2016,G-F,Oklahoma State,1985.0,107.0,POR,1989,198.12,96.62
70,/players/a/anderju01.html,Justin Anderson,2016,2022,G,Virginia,2015.0,21.0,DAL,1993,198.12,104.33
71,/players/a/anderke01.html,Kenny Anderson,1992,2005,G,Georgia Tech,1991.0,2.0,NJN,1970,182.88,76.2
72,/players/a/anderky01.html,Kyle Anderson,2015,2022,F-G,UCLA,2014.0,30.0,SAS,1993,205.74,104.33
73,/players/a/andermi01.html,Michael Anderson,1989,1989,G,Drexel,1988.0,73.0,IND,1966,180.34,83.46
74,/players/a/andermi01.html,Michael Anderson,1989,1989,G,Drexel,1986.0,148.0,SAS,1966,180.34,83.46
75,/players/a/anderni01.html,Nick Anderson,1990,2002,F-G,Illinois,1989.0,11.0,ORL,1968,198.12,92.99
76,/players/a/anderry01.html,Ryan Anderson,2009,2020,F,California,2008.0,21.0,NJN,1988,205.74,108.86
77,/players/a/andersh01.html,Shandon Anderson,1997,2006,F-G,Georgia,1996.0,54.0,UTA,1973,198.12,94.35
78,/players/a/anderwi01.html,Willie Anderson,1989,1997,G-F,Georgia,1988.0,10.0,SAS,1967,200.66,86.18
79,/players/a/andrima01.html,Martynas Andriuškevičius,2006,2006,C,No College,Undrafted,Undrafted,Undrafted,1986,218.44000000000003,108.86
80,/players/a/anigbik01.html,Ike Anigbogu,2018,2019,F-C,UCLA,2017.0,47.0,IND,1998,208.28,113.4
81,/players/a/anslemi01.html,Michael Ansley,1990,1992,F,Alabama,1989.0,37.0,ORL,1967,200.66,102.06
82,/players/a/anstech01.html,Chris Anstey,1998,2000,C,No College,1997.0,18.0,POR,1975,213.36,112.94
83,/players/a/antetgi01.html,Giannis Antetokounmpo,2014,2022,F-G,No College,2013.0,15.0,MIL,1994,210.82,109.77
84,/players/a/antetko01.html,Kostas Antetokounmpo,2019,2021,F,Dayton,2018.0,60.0,PHI,1997,208.28,90.72
85,/players/a/antetth01.html,Thanasis Antetokounmpo,2016,2022,F,No College,2014.0,51.0,NYK,1992,198.12,99.34
86,/players/a/anthoca01.html,Carmelo Anthony,2004,2022,F,Syracuse,2003.0,3.0,DEN,1984,200.66,107.96
87,/players/a/anthoco01.html,Cole Anthony,2021,2022,G,UNC,2020.0,15.0,ORL,2000,187.96,83.91
88,/players/a/anthogr01.html,Greg Anthony,1992,2002,G,"University of Portland, UNLV",1991.0,12.0,NYK,1967,182.88,79.83
89,/players/a/anthojo01.html,Joel Anthony,2008,2017,C,UNLV,Undrafted,Undrafted,Undrafted,1982,205.74,111.13
