,SEASON,SCHOOL,CONF,G,MP,TS%,eFG%,3PAr,FTr,TOV%,COLLEGE_URL,GS
383,1995-96,Wake Forest,ACC,32.0,1190.0,0.595,0.563,0.056,0.528,17.0,/players/tim-duncan-1.html,32.0
384,1996-97,Wake Forest,ACC,31.0,1137.0,0.629,0.616,0.057,0.699,16.2,/players/tim-duncan-1.html,31.0
385,2006-07,Texas,Big 12,35.0,1255.0,0.587,0.536,0.314,0.396,11.4,/players/kevin-durant-1.html,35.0
386,1991-92,UCLA,Pac-10,32.0,586.0,0.585,0.528,0.328,0.472,21.1,/players/tyus-edney-1.html,4.0
387,1992-93,UCLA,Pac-10,33.0,1207.0,0.61,0.541,0.279,0.534,23.8,/players/tyus-edney-1.html,33.0
388,1993-94,UCLA,Pac-10,28.0,891.0,0.58,0.507,0.218,0.548,19.5,/players/tyus-edney-1.html,28.0
389,1994-95,UCLA,Pac-10,32.0,976.0,0.599,0.539,0.224,0.619,19.5,/players/tyus-edney-1.html,32.0
390,2019-20,Georgia,SEC,32.0,1057.0,0.52,0.473,0.485,0.339,12.9,/players/anthony-edwards-2.html,32.0
391,1988-89,East Carolina,CAA,29.0,987.0,0.608,0.574,0.095,0.378,12.6,/players/blue-edwards-1.html,29.0
392,1987-88,DePaul,Ind,30.0,999.0,0.591,0.563,0.136,0.257,13.6,/players/kevin-edwards-1.html,0.0
393,1987-88,Arizona,Pac-10,38.0,1249.0,0.656,0.615,0.189,0.482,15.1,/players/sean-elliott-1.html,0.0
394,1988-89,Arizona,Pac-10,33.0,1125.0,0.608,0.547,0.306,0.47,14.6,/players/sean-elliott-1.html,33.0
395,1988-89,Notre Dame,Ind,27.0,819.0,0.583,0.565,0.004,0.274,16.1,/players/laphonso-ellis-1.html,25.0
396,1989-90,Notre Dame,Ind,22.0,712.0,0.555,0.516,0.027,0.525,15.7,/players/laphonso-ellis-1.html,0.0
397,1990-91,Notre Dame,Ind,15.0,495.0,0.629,0.599,0.108,0.516,18.46,/players/laphonso-ellis-1.html,0.0
398,1991-92,Notre Dame,Ind,33.0,1194.0,0.647,0.636,0.025,0.539,16.9,/players/laphonso-ellis-1.html,0.0
399,1987-88,Louisville,Metro,35.0,1175.0,0.628,0.602,0.005,0.54,12.9,/players/pervis-ellison-1.html,0.0
400,1988-89,Louisville,Metro,31.0,1014.0,0.626,0.615,0.003,0.382,16.3,/players/pervis-ellison-1.html,30.0
401,1997-98,California,Pac-10,26.0,478.0,0.465,0.431,0.0,0.398,16.939999999999998,/players/francisco-elson-1.html,14.0
402,1998-99,California,Pac-10,32.0,632.0,0.502,0.513,0.0,0.327,16.6,/players/francisco-elson-1.html,28.0
403,1998-99,Fresno State,WAC,32.0,988.0,0.546,0.563,0.007,0.402,18.8,/players/melvin-ely-1.html,0.0
