URL,COLLEGE_URL,ALL-DEFENSIVE,ALL-NBA,ALL-ROOKIE,ALL_STAR,AST_CHAMP,AS_MVP,BLK_CHAMP,DEF._POY,FINALS_MVP,HALL_OF_FAME,MOST_IMPROVED,MVP,ROY,SCORING_CHAMP,SIXTH_MAN,STL_CHAMP,TRB_CHAMP,NBA_75TH_ANNIV._TEAM,NBA_CHAMP,SUM_YEAR_NBA_CHAMP,YEAR_NBA_CHAMP,SUM_NBA_CHAMP
/players/a/antetgi01.html,not_url,5,6,1,6,0,1,0,1,1,0,1,2,0,0,0,0,0,1,0,1,2021,1
/players/a/antetko01.html,/players/kostas-antetokounmpo-1.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,1
/players/a/antetth01.html,not_url,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2021,1
/players/a/anthoca01.html,/players/carmelo-anthony-1.html,0,6,1,10,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
/players/a/anthoco01.html,not_url,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/players/a/anthogr01.html,not_url,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/players/a/anthojo01.html,/players/joel-anthony-1.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
/players/a/anticpe01.html,not_url,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/players/a/anunoog01.html,/players/og-anunoby-1.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,1
/players/a/applike01.html,not_url,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/players/a/araujra01.html,not_url,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/players/a/archiro01.html,not_url,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/players/a/arcidry01.html,not_url,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/players/a/arenagi01.html,/players/gilbert-arenas-1.html,0,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
