,2P,2P%,2PA,3P,3P%,3PA,AGE,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,LEAGUE,MP,ORB,PF,POS,PTS,SEASON,STL,TEAM,TOV,TRB,URL,eFG%
4667,0.9,0.472,2.0,0.2,0.333,0.7,,0.8,0.0,0.9,1.2,0.438,2.7,0.4,0.538,0.7,18,0,NBA,8.1,0.2,0.9,,2.9,Career,0.3,,0.8,1.1,/players/w/washida01.html,0.479
4668,1.6,0.457,3.6,0.0,0.0,0.0,,0.6,0.4,1.0,1.6,0.453,3.6,0.7,0.679,1.0,56.0,,ABA,8.9,0.8,2.0,,3.9,Career,0.2,,0.9,1.8,/players/w/washido01.html,0.453
4669,0.8,.372,2.3,0.1,.500,0.2,,2.1,0.0,1.0,0.9,.383,2.5,0.8,.800,1.1,19,0,NBA,9.7,0.3,1.3,,2.8,Career,0.7,,0.6,1.3,/players/w/washidu01.html,.404
4670,1.9,0.434,4.4,1.7,0.377,4.5,,1.8,0.1,1.6,3.6,0.405,8.9,1.0,0.754,1.3,48,7,NBA,20.2,0.1,1.4,,9.9,Career,0.5,,1.2,1.7,/players/w/washidu02.html,0.5
4671,1.9,0.431,4.3,0.8,0.346,2.3,,1.0,0.4,1.3,2.6,0.402,6.6,0.8,0.757,1.1,104,42,NBA,22.1,0.8,2.2,,6.9,Career,0.8,,1.0,2.1,/players/w/washier01.html,0.461
4672,,,,,,,,1.4,0.6,5.2,4.2,0.449,9.4,2.1,0.705,3.0,774.0,,NBA,29.3,2.1,2.9,,10.6,Career,0.5,,,8.6,/players/w/washiji01.html,
4673,3.5,.526,6.7,0.0,.000,0.0,,1.4,1.1,5.3,3.5,.526,6.7,2.2,.656,3.3,507,5,NBA,25.3,3.0,3.2,,9.2,Career,0.8,,2.0,8.3,/players/w/washike01.html,.526
4674,2.7,0.519,5.3,1.6,0.375,4.4,,2.3,1.0,4.5,4.4,0.454,9.7,1.4,0.702,1.9,187,146,NBA,29.3,1.2,2.6,,11.8,Career,0.9,,1.6,5.7,/players/w/washipj01.html,0.539
4675,3.4,0.469,7.1,0.1,0.184,0.4,,3.8,0.1,1.2,3.4,0.452,7.6,1.6,0.746,2.2,194.0,79.0,NBA,20.8,0.7,2.3,,8.6,Career,1.3,,2.3,1.9,/players/w/washipe01.html,0.458
4676,4.2,.453,9.2,0.0,.250,0.0,,1.2,0.8,4.3,4.2,.453,9.3,1.5,.711,2.0,351,2,NBA,22.4,2.0,3.4,,9.8,Career,0.6,,1.6,6.3,/players/w/washiri01.html,.453
4677,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,1,,NBA,4.0,0.0,1.0,,0.0,Career,0.0,,,0.0,/players/w/washist01.html,
4678,4.4,0.533,8.3,0.0,0.333,0.0,,2.4,,6.2,4.4,0.532,8.3,1.7,0.615,2.8,426.0,,ABA,31.1,3.8,3.4,,10.6,Career,,,2.5,10.0,/players/w/washitr01.html,0.532
4679,,,,,,,,0.6,1.0,3.1,3.2,0.497,6.4,1.0,0.605,1.6,100.0,,NBA,17.0,1.4,2.6,,7.3,Career,0.5,,1.6,4.5,/players/w/washiwi01.html,
4680,0.8,0.462,1.7,0.6,0.352,1.6,,0.6,0.3,2.0,1.4,0.409,3.3,0.5,0.667,0.7,121.0,8.0,NBA,12.0,0.5,1.0,,3.8,Career,0.4,,0.4,2.5,/players/w/watanyu01.html,0.494
4681,0.7,0.621,1.2,2.1,0.363,5.8,,1.0,0.3,2.7,2.8,0.406,7.0,0.2,0.8,0.2,25,1,NBA,18.6,0.2,1.2,,8.0,Career,0.8,,0.4,2.9,/players/w/waterli01.html,0.557
4682,0.8,0.408,1.9,0.5,0.296,1.8,,2.1,0.1,0.8,1.3,0.354,3.7,0.6,0.96,0.6,40.0,4.0,NBA,10.2,0.1,0.9,,3.7,Career,0.8,,1.2,0.9,/players/w/watertr01.html,0.425
4683,2.8,0.581,4.8,0.2,0.237,0.8,,1.7,0.6,3.0,3.0,0.532,5.6,1.5,0.755,2.0,48,10,NBA,18.1,1.2,2.4,,7.6,Career,0.5,,0.9,4.1,/players/w/watfotr01.html,0.549
4684,0.9,.414,2.1,0.0,,0.0,,0.2,0.4,1.9,0.9,.414,2.1,0.8,.478,1.6,14,0,NBA,12.1,0.9,1.6,,2.5,Career,0.5,,1.1,2.8,/players/w/watkida01.html,.414
4685,,,,,,,,1.3,,,1.1,0.323,3.5,0.5,0.689,0.7,63.0,,NBA,11.1,,1.1,,2.8,Career,,,,1.4,/players/w/watsobo01.html,
4686,1.7,0.444,3.9,0.8,0.373,2.1,,2.5,0.1,1.6,2.5,0.419,6.0,1.4,0.812,1.7,600.0,104.0,NBA,20.2,0.4,1.5,,7.2,Career,0.9,,1.1,1.9,/players/w/watsocj01.html,0.484
4687,1.8,0.449,4.1,0.6,0.324,1.8,,4.4,0.2,1.7,2.4,0.411,5.9,1.0,0.703,1.4,878.0,227.0,NBA,22.2,0.5,2.0,,6.4,Career,1.0,,1.8,2.3,/players/w/watsoea01.html,0.46
4688,1.1,.494,2.3,0.1,.316,0.4,,1.1,0.2,1.1,1.2,.468,2.6,0.6,.694,0.8,102,7,NBA,12.2,0.4,1.5,,3.2,Career,0.6,,0.9,1.5,/players/w/watsoja01.html,.491
4689,0.4,0.488,0.9,0.9,0.392,2.2,,0.7,0.2,1.7,1.3,0.42,3.1,0.3,0.684,0.4,46.0,5.0,NBA,11.7,0.2,1.1,,3.8,Career,0.3,,0.3,1.9,/players/w/watsopa01.html,0.559
4690,,,,,,,,0.1,,,0.4,0.261,1.6,0.6,0.696,0.8,28,,NBA,3.3,,0.6,,1.4,Career,,,,1.4,/players/w/wattsro01.html,
